,,2016,#NAME?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CO00001,CO00231,CO00295,CO00172,CO00168,CO00016,CO00476,CO00024,CO00023,CO00002,CO00027,CO00169,CO00069,CO00068,CO00318,CO00173,CO00170,CO00004,CO00692,CO00003,CO00025,CO00210,CO00033,CO00036,CO00006,CO00136,CO00022,CO00035,CO00034,CO00005,CO00030,CO00031,CO00032,CO00020,CO00010,CO00011,CO00117,CO00184,CO00185,CO00179,CO00192,CO00171,CO00180,CO00194,CO00174,CO00015,CO00181,CO00014,CO00195,CO00008,CO00007,CO00320,CO00321,CO00322,CO00323,CO00324,CO00325,CO00326,CO00327,CO00328,CO00329,CO00330,CO00331,CO00348,CO00347,CO00332,CO00333,CO00334,CO00335,CO00336,CO00337,CO00338,CO00339,CO00340,CO00341,CO00342,CO00343,CO00344,CO00345,CO00346
AMB#,NAIC#,Company Name,AMB Company Name,AMB Company Name (Communications),AMB Company Name (Full),AMB Entity Name,AMB Entity Number,AMB Group Lead Company Indicator,AMB Group Lead Company Number,AMB Group Name,AMB Group Number,AMB Number,AMB Parent Name,AMB Parent Number,AMB Rating Unit Name,AMB Rating Unit Number,AMB Trade Name,AMB Ultimate Parent Name,AMB Ultimate Parent Number,Federal Employer ID Number,Legal Entity Identifier,NAIC Company Number,NAIC Group Number,Parent Company (Percent Owned),City,Country,Country of Domicile,Email Address,Fax Number,Postal Code,State,State of Domicile,Street Address 1,Street Address 2,Street Address 3,Telephone Number,Top Officer,Top Officer's Title,Web Site,Business Status,Business Status Reason,Business Type,Business Type Descriptor,Consolidation Type,Entity Type,Entity Type Descriptor,Industry Type,Marketing Type,Operating Company Type,Organization Type,Organization Type Descriptor,Year Commenced Business,Year of Incorporation,Accounting Officer,Actuary,Administration,Auditor Officer,Chairman,Chief Compliance Officer,Chief Executive Officer,Chief Financial Officer,Chief Information Officer,Chief Investment Officer,Comptroller,Controller,Director,Directors List,Executive Vice President,General Counsel,General Manager,Manager,Managing Director,Marketing Officer,Office Manager,Operations Officer,Other,President,Secretary,Senior Vice President,Treasurer,Underwriting Officer,Vice President
018680,00000,Accident Fund Group (G),Accident Fund Group,Accident Fund Group,Accident Fund Group,Accident Fund Ins Co of America,011770,N,011770,Accident Fund Group,018680,018680,...,000000,Accident Fund Group,018680,...,Blue Cross Blue Shield of MI Mutual Ins,060081,000000000,,00000,00000,0.00,Lansing,UNITED STATES,United States,...,517-367-2925,48901-7990,MI,Michigan,P.O. Box 40790,...,...,866-206-5851,Elizabeth R. Haar,President & CEO,www.afgroupinsurance.com,In Business,...,Property/ Casualty,...,A.M. Best Consolidated Group,Data Consolidation,None,Insurance,Independent Agency ,...,Stock,...,0,1994,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
000468,14184,Acuity A Mutual Insurance Company,Acuity A Mutual Insurance Company,Acuity A Mutual Ins Co,Acuity A Mutual Insurance Company,Acuity A Mutual Insurance Company,000468,N,000000,...,000000,000468,...,000000,Acuity A Mutual Insurance Company,000468,...,...,000000,390491540,,14184,00000,0.00,Sheboygan,UNITED STATES,United States,acuity@acuity.com,920-458-1618,53082-0058,WI,Wisconsin,P.O. Box 58,...,...,920-458-9131,Benjamin M. Salzmann,President & CEO,www.acuity.com,In Business,...,Property/ Casualty,...,Unaffiliated Single Company,Operating Company,None,Insurance,Independent Agency ,...,Mutual,...,1925,1925,...,...,...,...,...,...,"Benjamin M. Salzmann, President and Chief Executive Officer",...,...,...,...,...,...,Benjamin M. Salzmann; Harold C. Trescott; Harold G. Greenhill; John F. Schwalbach; Kurt L. Olson; Lisa A. Mauer; Margaret A. Farrow; Michael R. Duckett; Paul J. Hoffman; Rhonda E. Kirkwood; Richard F. Riley; Richard G. Zimmermann; Robert T. Willis,...,...,...,...,...,...,...,...,...,"Benjamin M. Salzmann, President and Chief Executive Officer","John F. Schwalbach, Secretary",...,"Wendy R. Schuler, Vice President and Treasurer",...,"Edgar N. Warren, Vice President; James J. Loiacono, Vice President; Joan Ravanelli Miller, Vice President; Marcus C. Knuth, Vice President; Melissa R. Winter, Vice President; Patrick N. Tures, Vice President; Richard A. Waldhart, Vice President; Shane A. Paltzer, Vice President; Sheri L. Murphy, Vice President; Wendy R. Schuler, Vice President and Treasurer"
000106,00000,Alfa Insurance Group (G),Alfa Insurance Group,Alfa Ins Group,Alfa Insurance Group,Alfa Mutual Insurance Company,002005,N,002005,Alfa Insurance Group,000106,000106,...,000000,Alfa Insurance Group,000106,...,Alfa Mutual Insurance Company,002005,000000000,,00000,00000,0.00,Montgomery,UNITED STATES,United States,...,...,36191-0001,AL,Alabama,P.O. Box 11000,...,...,334-288-3900,James L. Parnell,"Chairman, President & CEO",www.alfainsurance.com,In Business,...,Property/ Casualty,...,A.M. Best Consolidated Group,Data Consolidation,None,Insurance,Direct Response ,...,Mutual,...,0,1947,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
018640,00000,Alleghany Insurance Holdings Group (G),Alleghany Insurance Holdings Group,Alleghany Ins Holdings Group,Alleghany Insurance Holdings Group,Alleghany Insurance Holdings LLC,050939,N,012603,Alleghany Insurance Holdings Group,018640,018640,...,000000,...,000000,...,Alleghany Corporation,058309,000000000,,00000,00000,0.00,Atlanta,UNITED STATES,United States,...,404-231-3755,30326-1160,GA,New Hampshire,945 East Paces Ferry Road,Suite 1800,...,404-231-2366,Weston M. Hicks,President & CEO,www.rsui.com,In Business,...,Property/ Casualty,...,A.M. Best Consolidated Group,Data Consolidation,None,Insurance,Independent Agency ,...,Stock,...,0,1977,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
018429,00000,Allianz of America Companies (G),Allianz of America Companies,Allianz of America Companies,Allianz of America Companies,Allianz Global Risks US Insurance Co,000407,N,000407,Allianz of America Companies,018429,018429,...,000000,...,000000,...,Allianz SE,085449,000000000,,00000,00000,0.00,Chicago,UNITED STATES,United States,...,818-260-7207,60606-3484,IL,California,225 W. Washington Street,Suite 2000,...,818-260-7500,Dr. Henning Schulte-Noelle,Chrm.,www.aic-allianz.com,In Business,...,Property/ Casualty,...,A.M. Best Consolidated Group,Data Consolidation,None,Insurance,Independent Agency ,...,Stock,...,1976,1938,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
018591,00000,Allied World Assurance Group (G),Allied World Assurance Group,Allied World Assur Group,Allied World Assurance Group,"Allied World Assurance Hldgs (U.S.), Inc",052288,N,012525,Allied World Assurance Group,018591,018591,...,000000,...,000000,...,Allied World Assurance Co Holdings AG,058218,000000000,,00000,03239,0.00,New York,UNITED STATES,United States,...,617-556-8060,10038,NY,Delaware,199 Water Street,...,...,857-288-6000,...,...,www.awac.com,In Business,...,Property/ Casualty,...,A.M. Best Consolidated Group,Data Consolidation,None,Insurance,...,...,...,...,0,1992,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
