,,,#NAME?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ST04422,ST04423,ST04424,ST04425,ST04426,ST04427,ST04428,ST07163,ST07164,ST07165,ST07166,ST07167,ST07168,ST07169,ST18057,ST18058,ST18059,ST18060,ST18061,ST18062,ST18063,ST18064,ST18065,ST18066,ST18067,ST18068,ST18069,ST18070,ST18071,ST18072,ST18073,ST18074,ST18075,ST18076,ST18077,ST18078,ST18079,ST18080,ST18081,ST18082,ST18083,ST18084,ST18085,ST18086,ST18087,ST18088,ST18089,ST18090,ST18091,ST18092,ST18093,ST18094,ST18095,ST18096,ST18097,ST18098,ST04422,ST04423,ST04424,ST04425,ST04426,ST04427,ST04428,ST07163,ST07164,ST07165,ST07166,ST07167,ST07168,ST07169,ST18057,ST18058,ST18059,ST18060,ST18061,ST18062,ST18063,ST18064,ST18065,ST18066,ST18067,ST18068,ST18069,ST18070,ST18071,ST18072,ST18073,ST18074,ST18075,ST18076,ST18077,ST18078,ST18079,ST18080,ST18081,ST18082,ST18083,ST18084,ST18085,ST18086,ST18087,ST18088,ST18089,ST18090,ST18091,ST18092,ST18093,ST18094,ST18095,ST18096,ST18097,ST18098,ST04422,ST04423,ST04424,ST04425,ST04426,ST04427,ST04428,ST07163,ST07164,ST07165,ST07166,ST07167,ST07168,ST07169,ST18057,ST18058,ST18059,ST18060,ST18061,ST18062,ST18063,ST18064,ST18065,ST18066,ST18067,ST18068,ST18069,ST18070,ST18071,ST18072,ST18073,ST18074,ST18075,ST18076,ST18077,ST18078,ST18079,ST18080,ST18081,ST18082,ST18083,ST18084,ST18085,ST18086,ST18087,ST18088,ST18089,ST18090,ST18091,ST18092,ST18093,ST18094,ST18095,ST18096,ST18097,ST18098,ST04422,ST04423,ST04424,ST04425,ST04426,ST04427,ST04428,ST07163,ST07164,ST07165,ST07166,ST07167,ST07168,ST07169,ST18057,ST18058,ST18059,ST18060,ST18061,ST18062,ST18063,ST18064,ST18065,ST18066,ST18067,ST18068,ST18069,ST18070,ST18071,ST18072,ST18073,ST18074,ST18075,ST18076,ST18077,ST18078,ST18079,ST18080,ST18081,ST18082,ST18083,ST18084,ST18085,ST18086,ST18087,ST18088,ST18089,ST18090,ST18091,ST18092,ST18093,ST18094,ST18095,ST18096,ST18097,ST18098,ST04422,ST04423,ST04424,ST04425,ST04426,ST04427,ST04428,ST07163,ST07164,ST07165,ST07166,ST07167,ST07168,ST07169,ST18057,ST18058,ST18059,ST18060,ST18061,ST18062,ST18063,ST18064,ST18065,ST18066,ST18067,ST18068,ST18069,ST18070,ST18071,ST18072,ST18073,ST18074,ST18075,ST18076,ST18077,ST18078,ST18079,ST18080,ST18081,ST18082,ST18083,ST18084,ST18085,ST18086,ST18087,ST18088,ST18089,ST18090,ST18091,ST18092,ST18093,ST18094,ST18095,ST18096,ST18097,ST18098,ST04422,ST04423,ST04424,ST04425,ST04426,ST04427,ST04428,ST07163,ST07164,ST07165,ST07166,ST07167,ST07168,ST07169,ST18057,ST18058,ST18059,ST18060,ST18061,ST18062,ST18063,ST18064,ST18065,ST18066,ST18067,ST18068,ST18069,ST18070,ST18071,ST18072,ST18073,ST18074,ST18075,ST18076,ST18077,ST18078,ST18079,ST18080,ST18081,ST18082,ST18083,ST18084,ST18085,ST18086,ST18087,ST18088,ST18089,ST18090,ST18091,ST18092,ST18093,ST18094,ST18095,ST18096,ST18097,ST18098
AMB#,NAIC#,Company Name,Tot cr yr aff naic 1,Tot cr yr aff naic 2,Tot cr yr aff naic 3,Tot cr yr aff naic 4,Tot cr yr aff naic 5,Tot cr yr aff naic 6,Tot cr yr aff total,Tot cr yr us gov naic 1,Tot cr yr us gov naic 2,Tot cr yr us gov naic 3,Tot cr yr us gov naic 4,Tot cr yr us gov naic 5,Tot cr yr us gov naic 6,Tot cr yr us gov total,Tot cr yrs oth gov naic 1,Tot cr yrs oth gov naic 2,Tot cr yrs oth gov naic 3,Tot cr yrs oth gov naic 4,Tot cr yrs oth gov naic 5,Tot cr yrs oth gov naic 6,Tot cr yrs oth gov total,Tot cr yrs us st & ter naic 1,Tot cr yrs us st & ter naic 2,Tot cr yrs us st & ter naic 3,Tot cr yrs us st & ter naic 4,Tot cr yrs us st & ter naic 5,Tot cr yrs us st & ter naic 6,Tot cr yrs us st & ter total,Tot cr yrs us pol sub naic 1,Tot cr yrs us pol sub naic 2,Tot cr yrs us pol sub naic 3,Tot cr yrs us pol sub naic 4,Tot cr yrs us pol sub naic 5,Tot cr yrs us pol sub naic 6,Tot cr yrs us pol sub total,Tot cr yrs us sp rev naic 1,Tot cr yrs us sp rev naic 2,Tot cr yrs us sp rev naic 3,Tot cr yrs us sp rev naic 4,Tot cr yrs us sp rev naic 5,Tot cr yrs us sp rev naic 6,Tot cr yrs us sp rev total,Tot cr yrs ind & mis naic 1,Tot cr yrs ind & mis naic 2,Tot cr yrs ind & mis naic 3,Tot cr yrs ind & mis naic 4,Tot cr yrs ind & mis naic 5,Tot cr yrs ind & mis naic 6,Tot cr yrs ind & mis total,Tot cr yrs hybrid secur naic 1,Tot cr yrs hybrid secur naic 2,Tot cr yrs hybrid secur naic 3,Tot cr yrs hybrid secur naic 4,Tot cr yrs hybrid secur naic 5,Tot cr yrs hybrid secur naic 6,Tot cr yrs hybrid secur total,Tot cr yr aff naic 1,Tot cr yr aff naic 2,Tot cr yr aff naic 3,Tot cr yr aff naic 4,Tot cr yr aff naic 5,Tot cr yr aff naic 6,Tot cr yr aff total,Tot cr yr us gov naic 1,Tot cr yr us gov naic 2,Tot cr yr us gov naic 3,Tot cr yr us gov naic 4,Tot cr yr us gov naic 5,Tot cr yr us gov naic 6,Tot cr yr us gov total,Tot cr yrs oth gov naic 1,Tot cr yrs oth gov naic 2,Tot cr yrs oth gov naic 3,Tot cr yrs oth gov naic 4,Tot cr yrs oth gov naic 5,Tot cr yrs oth gov naic 6,Tot cr yrs oth gov total,Tot cr yrs us st & ter naic 1,Tot cr yrs us st & ter naic 2,Tot cr yrs us st & ter naic 3,Tot cr yrs us st & ter naic 4,Tot cr yrs us st & ter naic 5,Tot cr yrs us st & ter naic 6,Tot cr yrs us st & ter total,Tot cr yrs us pol sub naic 1,Tot cr yrs us pol sub naic 2,Tot cr yrs us pol sub naic 3,Tot cr yrs us pol sub naic 4,Tot cr yrs us pol sub naic 5,Tot cr yrs us pol sub naic 6,Tot cr yrs us pol sub total,Tot cr yrs us sp rev naic 1,Tot cr yrs us sp rev naic 2,Tot cr yrs us sp rev naic 3,Tot cr yrs us sp rev naic 4,Tot cr yrs us sp rev naic 5,Tot cr yrs us sp rev naic 6,Tot cr yrs us sp rev total,Tot cr yrs ind & mis naic 1,Tot cr yrs ind & mis naic 2,Tot cr yrs ind & mis naic 3,Tot cr yrs ind & mis naic 4,Tot cr yrs ind & mis naic 5,Tot cr yrs ind & mis naic 6,Tot cr yrs ind & mis total,Tot cr yrs hybrid secur naic 1,Tot cr yrs hybrid secur naic 2,Tot cr yrs hybrid secur naic 3,Tot cr yrs hybrid secur naic 4,Tot cr yrs hybrid secur naic 5,Tot cr yrs hybrid secur naic 6,Tot cr yrs hybrid secur total,Tot cr yr aff naic 1,Tot cr yr aff naic 2,Tot cr yr aff naic 3,Tot cr yr aff naic 4,Tot cr yr aff naic 5,Tot cr yr aff naic 6,Tot cr yr aff total,Tot cr yr us gov naic 1,Tot cr yr us gov naic 2,Tot cr yr us gov naic 3,Tot cr yr us gov naic 4,Tot cr yr us gov naic 5,Tot cr yr us gov naic 6,Tot cr yr us gov total,Tot cr yrs oth gov naic 1,Tot cr yrs oth gov naic 2,Tot cr yrs oth gov naic 3,Tot cr yrs oth gov naic 4,Tot cr yrs oth gov naic 5,Tot cr yrs oth gov naic 6,Tot cr yrs oth gov total,Tot cr yrs us st & ter naic 1,Tot cr yrs us st & ter naic 2,Tot cr yrs us st & ter naic 3,Tot cr yrs us st & ter naic 4,Tot cr yrs us st & ter naic 5,Tot cr yrs us st & ter naic 6,Tot cr yrs us st & ter total,Tot cr yrs us pol sub naic 1,Tot cr yrs us pol sub naic 2,Tot cr yrs us pol sub naic 3,Tot cr yrs us pol sub naic 4,Tot cr yrs us pol sub naic 5,Tot cr yrs us pol sub naic 6,Tot cr yrs us pol sub total,Tot cr yrs us sp rev naic 1,Tot cr yrs us sp rev naic 2,Tot cr yrs us sp rev naic 3,Tot cr yrs us sp rev naic 4,Tot cr yrs us sp rev naic 5,Tot cr yrs us sp rev naic 6,Tot cr yrs us sp rev total,Tot cr yrs ind & mis naic 1,Tot cr yrs ind & mis naic 2,Tot cr yrs ind & mis naic 3,Tot cr yrs ind & mis naic 4,Tot cr yrs ind & mis naic 5,Tot cr yrs ind & mis naic 6,Tot cr yrs ind & mis total,Tot cr yrs hybrid secur naic 1,Tot cr yrs hybrid secur naic 2,Tot cr yrs hybrid secur naic 3,Tot cr yrs hybrid secur naic 4,Tot cr yrs hybrid secur naic 5,Tot cr yrs hybrid secur naic 6,Tot cr yrs hybrid secur total,Tot cr yr aff naic 1,Tot cr yr aff naic 2,Tot cr yr aff naic 3,Tot cr yr aff naic 4,Tot cr yr aff naic 5,Tot cr yr aff naic 6,Tot cr yr aff total,Tot cr yr us gov naic 1,Tot cr yr us gov naic 2,Tot cr yr us gov naic 3,Tot cr yr us gov naic 4,Tot cr yr us gov naic 5,Tot cr yr us gov naic 6,Tot cr yr us gov total,Tot cr yrs oth gov naic 1,Tot cr yrs oth gov naic 2,Tot cr yrs oth gov naic 3,Tot cr yrs oth gov naic 4,Tot cr yrs oth gov naic 5,Tot cr yrs oth gov naic 6,Tot cr yrs oth gov total,Tot cr yrs us st & ter naic 1,Tot cr yrs us st & ter naic 2,Tot cr yrs us st & ter naic 3,Tot cr yrs us st & ter naic 4,Tot cr yrs us st & ter naic 5,Tot cr yrs us st & ter naic 6,Tot cr yrs us st & ter total,Tot cr yrs us pol sub naic 1,Tot cr yrs us pol sub naic 2,Tot cr yrs us pol sub naic 3,Tot cr yrs us pol sub naic 4,Tot cr yrs us pol sub naic 5,Tot cr yrs us pol sub naic 6,Tot cr yrs us pol sub total,Tot cr yrs us sp rev naic 1,Tot cr yrs us sp rev naic 2,Tot cr yrs us sp rev naic 3,Tot cr yrs us sp rev naic 4,Tot cr yrs us sp rev naic 5,Tot cr yrs us sp rev naic 6,Tot cr yrs us sp rev total,Tot cr yrs ind & mis naic 1,Tot cr yrs ind & mis naic 2,Tot cr yrs ind & mis naic 3,Tot cr yrs ind & mis naic 4,Tot cr yrs ind & mis naic 5,Tot cr yrs ind & mis naic 6,Tot cr yrs ind & mis total,Tot cr yrs hybrid secur naic 1,Tot cr yrs hybrid secur naic 2,Tot cr yrs hybrid secur naic 3,Tot cr yrs hybrid secur naic 4,Tot cr yrs hybrid secur naic 5,Tot cr yrs hybrid secur naic 6,Tot cr yrs hybrid secur total,Tot cr yr aff naic 1,Tot cr yr aff naic 2,Tot cr yr aff naic 3,Tot cr yr aff naic 4,Tot cr yr aff naic 5,Tot cr yr aff naic 6,Tot cr yr aff total,Tot cr yr us gov naic 1,Tot cr yr us gov naic 2,Tot cr yr us gov naic 3,Tot cr yr us gov naic 4,Tot cr yr us gov naic 5,Tot cr yr us gov naic 6,Tot cr yr us gov total,Tot cr yrs oth gov naic 1,Tot cr yrs oth gov naic 2,Tot cr yrs oth gov naic 3,Tot cr yrs oth gov naic 4,Tot cr yrs oth gov naic 5,Tot cr yrs oth gov naic 6,Tot cr yrs oth gov total,Tot cr yrs us st & ter naic 1,Tot cr yrs us st & ter naic 2,Tot cr yrs us st & ter naic 3,Tot cr yrs us st & ter naic 4,Tot cr yrs us st & ter naic 5,Tot cr yrs us st & ter naic 6,Tot cr yrs us st & ter total,Tot cr yrs us pol sub naic 1,Tot cr yrs us pol sub naic 2,Tot cr yrs us pol sub naic 3,Tot cr yrs us pol sub naic 4,Tot cr yrs us pol sub naic 5,Tot cr yrs us pol sub naic 6,Tot cr yrs us pol sub total,Tot cr yrs us sp rev naic 1,Tot cr yrs us sp rev naic 2,Tot cr yrs us sp rev naic 3,Tot cr yrs us sp rev naic 4,Tot cr yrs us sp rev naic 5,Tot cr yrs us sp rev naic 6,Tot cr yrs us sp rev total,Tot cr yrs ind & mis naic 1,Tot cr yrs ind & mis naic 2,Tot cr yrs ind & mis naic 3,Tot cr yrs ind & mis naic 4,Tot cr yrs ind & mis naic 5,Tot cr yrs ind & mis naic 6,Tot cr yrs ind & mis total,Tot cr yrs hybrid secur naic 1,Tot cr yrs hybrid secur naic 2,Tot cr yrs hybrid secur naic 3,Tot cr yrs hybrid secur naic 4,Tot cr yrs hybrid secur naic 5,Tot cr yrs hybrid secur naic 6,Tot cr yrs hybrid secur total,Tot cr yr aff naic 1,Tot cr yr aff naic 2,Tot cr yr aff naic 3,Tot cr yr aff naic 4,Tot cr yr aff naic 5,Tot cr yr aff naic 6,Tot cr yr aff total,Tot cr yr us gov naic 1,Tot cr yr us gov naic 2,Tot cr yr us gov naic 3,Tot cr yr us gov naic 4,Tot cr yr us gov naic 5,Tot cr yr us gov naic 6,Tot cr yr us gov total,Tot cr yrs oth gov naic 1,Tot cr yrs oth gov naic 2,Tot cr yrs oth gov naic 3,Tot cr yrs oth gov naic 4,Tot cr yrs oth gov naic 5,Tot cr yrs oth gov naic 6,Tot cr yrs oth gov total,Tot cr yrs us st & ter naic 1,Tot cr yrs us st & ter naic 2,Tot cr yrs us st & ter naic 3,Tot cr yrs us st & ter naic 4,Tot cr yrs us st & ter naic 5,Tot cr yrs us st & ter naic 6,Tot cr yrs us st & ter total,Tot cr yrs us pol sub naic 1,Tot cr yrs us pol sub naic 2,Tot cr yrs us pol sub naic 3,Tot cr yrs us pol sub naic 4,Tot cr yrs us pol sub naic 5,Tot cr yrs us pol sub naic 6,Tot cr yrs us pol sub total,Tot cr yrs us sp rev naic 1,Tot cr yrs us sp rev naic 2,Tot cr yrs us sp rev naic 3,Tot cr yrs us sp rev naic 4,Tot cr yrs us sp rev naic 5,Tot cr yrs us sp rev naic 6,Tot cr yrs us sp rev total,Tot cr yrs ind & mis naic 1,Tot cr yrs ind & mis naic 2,Tot cr yrs ind & mis naic 3,Tot cr yrs ind & mis naic 4,Tot cr yrs ind & mis naic 5,Tot cr yrs ind & mis naic 6,Tot cr yrs ind & mis total,Tot cr yrs hybrid secur naic 1,Tot cr yrs hybrid secur naic 2,Tot cr yrs hybrid secur naic 3,Tot cr yrs hybrid secur naic 4,Tot cr yrs hybrid secur naic 5,Tot cr yrs hybrid secur naic 6,Tot cr yrs hybrid secur total
070388,00000,AAA Life Group (G),0,0,0,0,0,0,0,59149,0,0,0,0,0,59149,27,1741,0,0,0,0,1768,65416,0,0,0,0,0,65416,2270,0,0,0,0,0,2270,163106,0,0,0,0,0,163106,759932,404231,59539,50536,6285,1582,1282105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52403,0,0,0,0,0,52403,0,758,0,0,0,0,758,89232,0,0,0,0,0,89232,0,0,0,0,0,0,0,195952,0,0,0,0,0,195952,732456,485666,105981,43600,0,75,1367778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33738,0,0,0,0,0,33738,0,756,0,0,0,0,756,97320,0,0,0,0,0,97320,0,0,0,0,0,0,0,245973,0,0,0,0,0,245973,700527,530626,124861,74866,3758,75,1434713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38677,0,0,0,0,0,38677,0,754,0,0,0,0,754,117158,0,0,0,0,0,117158,0,0,0,0,0,0,0,255759,0,0,0,0,0,255759,786363,551560,116694,59638,866,75,1515195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103182,0,0,0,0,0,103182,0,5056,0,0,0,0,5056,17418,0,0,0,0,0,17418,20471,0,0,0,0,0,20471,323223,1869,0,0,0,0,325092,834049,619215,99089,83538,1134,75,1637100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146706,0,0,0,0,0,146706,0,5046,1176,0,0,0,6222,17194,0,0,0,0,0,17194,19423,0,0,0,0,0,19423,321813,4241,0,0,0,0,326054,949674,693444,110272,70880,0,75,1824344,0,0,0,0,0,0,0
070486,00000,Advantage Capital Life Group (G),0,0,0,0,0,0,0,19667,0,0,0,0,0,19667,0,0,0,0,0,0,0,13825,0,0,0,0,0,13825,8005,0,0,0,0,0,8005,97686,1211,0,0,0,0,98897,122619,29609,4047,486,0,267,157028,2071,4159,2311,200,350,113,9204,0,0,0,0,0,0,0,80076,0,0,0,0,0,80076,0,0,0,0,0,0,0,29709,0,0,0,0,0,29709,10679,0,0,0,0,0,10679,156506,1217,0,0,0,0,157722,510717,165505,6853,1485,0,0,684561,2222,2855,2815,550,0,73,8514,0,0,0,0,0,0,0,63965,0,0,0,0,0,63965,2011,0,0,0,0,0,2011,29329,0,0,0,0,0,29329,8718,1395,0,0,0,0,10113,144505,1508,0,0,0,0,146012,726150,285426,11126,4344,386,0,1027432,1627,4991,2318,200,200,0,9336,0,0,0,0,0,0,0,141285,0,0,0,0,0,141285,2012,0,0,0,0,0,2012,13862,0,0,0,0,0,13862,5338,1398,0,0,0,0,6735,87686,611,1026,0,0,0,89324,621295,274256,15267,12764,851,0,924433,2535,1587,2118,200,0,0,6440,0,0,0,0,0,0,0,129928,0,0,0,0,0,129928,517,1335,0,0,0,0,1852,11430,0,0,0,0,0,11430,9127,1400,0,0,0,0,10526,81167,525,1026,0,0,0,82718,761887,257133,22943,25400,2825,1478,1071667,1080,6389,498,0,0,0,7966,0,0,0,0,0,0,0,64024,0,0,0,0,0,64024,4416,726,298,0,0,0,5440,4236,4023,0,0,0,0,8259,6289,1402,0,0,0,0,7691,52481,350,1300,0,0,0,54131,848456,309003,61713,44246,21251,291,1284960,1001,4029,3824,0,0,0,8853
069707,00000,Aegon USA Group (G),858,5500,10778,0,110800,7493,135429,5366100,0,0,0,0,0,5366100,257529,416387,184170,252560,0,0,1110645,90255,1754,0,0,0,0,92009,0,0,0,0,0,0,0,1348385,22936,32017,0,349,0,1403686,39065686,20690997,2465774,2082988,1293552,203678,65802674,1276993,977992,311365,40006,6983,22010,2635349,0,5500,0,0,110800,11521,127821,5726860,0,0,0,0,0,5726860,190146,360786,131672,232722,0,0,915325,91452,1779,0,0,0,0,93232,0,0,0,0,0,0,0,1227445,21304,28499,0,113,63,1277424,34617155,18865155,2245024,1763632,1024676,163300,58678941,649723,746512,470427,71306,26433,11970,1976372,0,21250,13300,0,57201,5876,97627,5576806,0,0,0,0,0,5576806,262967,398504,80002,229963,0,0,971437,91588,1749,0,0,0,0,93337,0,0,0,0,0,0,0,1195034,15191,0,24422,79,0,1234726,33583147,18777433,1941803,1640144,876908,165776,56985211,534740,621557,387940,209678,10486,16032,1780433,0,21250,13300,0,57201,0,91751,6430945,0,0,0,0,0,6430945,263071,478643,26455,124690,0,54237,947095,91732,0,0,0,0,0,91732,0,0,0,0,0,0,0,1186121,10470,0,19911,0,0,1216502,28822788,19285278,1927617,1292348,475858,129862,51933751,507862,646835,305620,218020,17905,0,1696242,0,21250,13300,0,0,34700,69250,6948006,0,0,0,0,0,6948006,273986,412311,40027,15471,45416,41006,828218,89884,0,0,0,0,0,89884,0,0,0,0,0,0,0,1459527,10000,0,0,0,0,1469527,29910560,18155384,1568927,1181564,320758,127082,51264275,301040,634790,558835,71806,6983,11511,1584966,15750,13300,0,0,0,34700,63750,8160653,0,0,0,0,0,8160653,241567,366133,79038,23935,2738,38620,752032,24221,56895,20000,9401,0,2617,113134,0,0,0,0,0,0,0,1565930,10000,0,0,0,0,1575930,27182028,17606941,1616149,948420,343906,89893,47787337,296557,535751,471933,45259,6983,25539,1382022
070202,00000,Aetna Life Group (G),0,0,0,0,0,0,0,802363,0,0,0,0,0,802363,399123,203533,180007,102598,0,0,885260,209082,21476,0,0,0,0,230558,192457,14519,0,0,0,0,206976,1580392,138394,12116,800,0,0,1731701,5522884,2969438,576735,130824,257,6,9200144,94584,72810,6110,0,0,0,173504,0,0,0,0,0,0,0,924775,0,0,0,0,0,924775,380869,182037,173353,100569,0,0,836827,229349,14612,0,0,0,0,243961,136112,6021,0,10029,0,0,152162,1254508,137247,6150,2797,0,0,1400702,4697846,2731166,552356,134883,0,1,8116251,93589,19227,17221,5410,0,0,135447,0,0,0,0,0,0,0,809355,0,0,0,0,0,809355,367893,239406,165555,72673,3873,0,849400,235953,16547,0,0,0,0,252500,125507,0,0,0,0,0,125507,1382223,141057,6138,2766,0,0,1532185,4388312,2958117,519032,131386,0,0,7996847,25008,11713,35271,5400,0,0,77392,0,0,0,0,0,0,0,867762,0,0,0,0,0,867762,334695,363321,85369,77485,3915,0,864785,216611,5070,0,0,0,0,221681,208704,0,0,0,0,0,208704,1449901,88960,10322,2734,0,0,1551917,4085485,3052428,640430,155173,0,0,7933515,945,25641,7623,7518,0,0,41726,0,0,0,0,0,0,0,911183,0,0,0,0,0,911183,316835,366768,86000,86546,0,0,856150,196612,0,0,0,0,0,196612,210324,0,0,0,0,0,210324,1411088,86638,5097,12701,0,0,1515524,4450581,3084686,565283,181886,0,0,8282436,6324,34987,13648,2124,0,0,57084,0,0,0,0,0,0,0,998587,0,0,0,0,0,998587,282047,279764,101994,119836,0,0,783642,202796,27292,0,0,5026,0,235114,219558,0,0,0,0,0,219558,1431106,78260,6065,2667,0,0,1518097,4793790,3270053,500730,166759,6156,0,8737489,948,12603,8603,7486,0,0,29640
069824,00000,Aflac Incorporated Group (G),54178,0,0,0,0,0,54178,32996,0,0,0,0,0,32996,21183350,1890065,0,0,0,0,23073415,187528,1456,0,0,0,0,188983,96502,0,0,0,0,0,96502,745616,24939,0,23495,0,0,794050,35809513,13622383,3069683,1364261,144189,0,54010030,4592444,2926023,755125,338855,0,47383,8659829,61523,0,0,0,0,0,61523,173888,0,0,0,0,0,173888,34003243,1877136,0,0,0,0,35880379,133014,764,0,0,0,0,133778,194866,0,0,0,0,0,194866,658622,92430,0,23280,0,0,774332,33997215,17275305,3800775,300221,87346,58443,55519304,1440110,4906751,790347,76857,0,0,7214065,18698,0,0,0,0,0,18698,159148,0,0,0,0,0,159148,47831323,910853,612860,0,0,0,49355035,132679,755,0,0,0,0,133434,206337,0,0,0,0,0,206337,710794,83305,0,23051,0,0,817151,29051607,24371938,3326132,408553,78428,52272,57288930,429824,3029944,663777,0,0,0,4123545,16222,0,0,0,0,0,16222,213796,0,0,0,0,0,213796,44575375,1317890,364530,0,0,0,46257795,121898,746,0,0,0,0,122644,200677,0,0,0,0,0,200677,707149,65525,0,21650,0,0,794323,28424610,22962099,2572787,64426,96126,0,54120048,66723,2276746,357423,0,0,0,2700892,14998,0,0,0,0,0,14998,1102673,0,0,0,0,0,1102673,40192351,963159,239831,0,0,0,41395341,126625,0,0,325,0,0,126950,201617,0,0,0,0,0,201617,686772,83093,0,20244,0,0,790108,28261805,21119819,2407635,19425,45597,0,51854282,118993,1546862,546092,0,0,0,2211947,15879,0,0,0,0,0,15879,307775,0,0,0,0,0,307775,39984454,1252896,239711,0,0,0,41477061,107335,18657,0,0,0,197,126189,149145,52825,0,0,0,0,201970,678154,83612,0,0,0,0,761766,26182140,23351580,2793768,143177,61475,0,52532141,102407,1186349,139314,182715,0,0,1610785
070342,00000,AIG Life & Retirement Group (G),1404195,0,9810,52108,0,0,1466113,5299748,0,0,0,0,0,5299748,531085,493512,94528,4314,0,0,1123438,87767,658,0,0,0,0,88424,235593,0,0,0,0,0,235593,9759959,55112,25054,7383,0,0,9847507,65293729,48287552,4788507,2327394,920570,352263,121970015,1371750,1031850,62985,40423,1051,73742,2581802,341187,814281,53878,0,0,0,1209346,1075841,0,0,0,0,0,1075841,1424194,879284,191896,576,3660,0,2499609,155914,0,0,0,0,0,155914,324409,0,0,0,0,0,324409,14271385,106111,32600,35173,0,831,14446100,64597706,54989653,4746866,2362893,910183,244626,127851928,977621,641045,276114,183522,30413,67159,2175874,2433504,607764,43410,3938,3992,0,3092608,2601986,0,0,0,0,0,2601986,1972139,1343477,165435,348,0,0,3481400,374657,0,0,0,0,0,374657,483203,0,0,0,0,0,483203,12380501,104022,32600,6153,5864,509,12529649,62624501,56368095,4807616,2495435,802706,345849,127444201,537355,1141548,115504,96929,0,146,1891482,10223485,359606,35392,14307,3992,0,10636782,2560587,0,0,0,0,0,2560587,1831046,1781141,95726,7054,0,0,3714968,538094,0,0,0,0,0,538094,596273,0,0,0,0,0,596273,11424428,95372,33943,0,2871,2663,11559276,62033924,52042275,4703886,2380254,575383,582652,122318376,501141,915279,74835,71466,26759,255,1589736,10222692,141193,0,9794,0,0,10373679,2518403,0,0,0,0,0,2518403,1970329,2060597,106133,19496,0,0,4156556,554906,0,0,0,0,0,554906,608002,0,0,0,0,0,608002,10907500,120720,33859,0,2787,2326,11067192,64870793,49458505,4489152,2406740,399025,613206,122237420,294118,636517,363455,69922,7869,27382,1399264,9172986,121978,0,4947,0,0,9299912,1482990,0,0,0,0,0,1482990,1925436,1950260,242877,23699,0,0,4142272,612875,44515,0,0,0,0,657391,554336,33220,0,0,0,0,587556,11364311,120882,33774,0,18180,1716,11538863,63659214,50372028,4535824,3158594,431191,410820,122567670,234844,628799,241775,3847,0,27094,1136358
