,,,#NAME?,#NAME?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,2011,2012,2013,2014,2015
,,,SF05352,SF05354,SF05356,SF05358,SF05360,SF05362,SF05366,SF05368,SF05370,SF05372,SF05374,SF05376,SF08471,SF08473,SF00025,SF00031,SF00039,SF00043,SF00053,SF00075,SF00135,SF00139,SF00146,SF00147,SF00148,SF04764,SF07654,SF07656,SF00011,SF00013,SF00014,SF00016,SF00023,SF04762,SF04763,SF06017,SF06018,SF13840,SF05352,SF05354,SF05356,SF05358,SF05360,SF05362,SF05366,SF05368,SF05370,SF05372,SF05374,SF05376,SF08471,SF08473,SF00025,SF00031,SF00039,SF00043,SF00053,SF00075,SF00135,SF00139,SF00146,SF00147,SF00148,SF04764,SF07654,SF07656,SF00011,SF00013,SF00014,SF00016,SF00023,SF04762,SF04763,SF06017,SF06018,SF13840,SF05352,SF05354,SF05356,SF05358,SF05360,SF05362,SF05366,SF05368,SF05370,SF05372,SF05374,SF05376,SF08471,SF08473,SF00025,SF00031,SF00039,SF00043,SF00053,SF00075,SF00135,SF00139,SF00146,SF00147,SF00148,SF04764,SF07654,SF07656,SF00011,SF00013,SF00014,SF00016,SF00023,SF04762,SF04763,SF06017,SF06018,SF13840,SF05352,SF05354,SF05356,SF05358,SF05360,SF05362,SF05366,SF05368,SF05370,SF05372,SF05374,SF05376,SF08471,SF08473,SF00025,SF00031,SF00039,SF00043,SF00053,SF00075,SF00135,SF00139,SF00146,SF00147,SF00148,SF04764,SF07654,SF07656,SF00011,SF00013,SF00014,SF00016,SF00023,SF04762,SF04763,SF06017,SF06018,SF13840,SF05352,SF05354,SF05356,SF05358,SF05360,SF05362,SF05366,SF05368,SF05370,SF05372,SF05374,SF05376,SF08471,SF08473,SF00025,SF00031,SF00039,SF00043,SF00053,SF00075,SF00135,SF00139,SF00146,SF00147,SF00148,SF04764,SF07654,SF07656,SF00011,SF00013,SF00014,SF00016,SF00023,SF04762,SF04763,SF06017,SF06018,SF13840,SF05352,SF05354,SF05356,SF05358,SF05360,SF05362,SF05366,SF05368,SF05370,SF05372,SF05374,SF05376,SF08471,SF08473,SF00025,SF00031,SF00039,SF00043,SF00053,SF00075,SF00135,SF00139,SF00146,SF00147,SF00148,SF04764,SF07654,SF07656,SF00011,SF00013,SF00014,SF00016,SF00023,SF04762,SF04763,SF06017,SF06018,SF13840,SG07793,SG07793,SG07793,SG07793,SG07793,SG07793
AMB#,NAIC#,Company Name,Iris  1 - gross prem to surplus,Iris  2 - net prem to surplus,Iris  3 - chg in net writings,Iris  4 - surplus aid to surplus,Iris  5 - 2-yr overall oper ratio,Iris  6 - investment yield,Iris  9 - liab to liquid assets,Iris 10 - agents' bal to surplus,Iris 11 - 1-yr res dev to surplus,Iris 12 - 2-yr res dev to surplus,Iris 13 - est cur res def to surp,Iris fails - # of val out of range,Iris  7 - gross change phs,Iris  8 - net change adj phs,Net - subtotals-cash & inv assets,Net - amount recov from reinsurers,Net - total assets,Reins payable on paid loss & lae,Unearned premiums,Total liabilities,Surplus as regards polhldrs end cy,Premiums collected net of reins,Dividends paid to policyholders,Fed&frgn inc tax pd/rcv net tax g/l,Net cash from operations,"Net - cash,equiv & s-term invest",Benefit and loss related payments,"Commiss,exps & agg w-ins for deduct",Net - bonds,Net - preferred stocks,Net - common stocks,Net - properties occupied by comp,Net - other invested assets,Net - mort loans-first liens,Net - mort loans-other than first,Net - prop for prod of income,Net - properties held for sale,Net - derivatives( schedule db ),Iris  1 - gross prem to surplus,Iris  2 - net prem to surplus,Iris  3 - chg in net writings,Iris  4 - surplus aid to surplus,Iris  5 - 2-yr overall oper ratio,Iris  6 - investment yield,Iris  9 - liab to liquid assets,Iris 10 - agents' bal to surplus,Iris 11 - 1-yr res dev to surplus,Iris 12 - 2-yr res dev to surplus,Iris 13 - est cur res def to surp,Iris fails - # of val out of range,Iris  7 - gross change phs,Iris  8 - net change adj phs,Net - subtotals-cash & inv assets,Net - amount recov from reinsurers,Net - total assets,Reins payable on paid loss & lae,Unearned premiums,Total liabilities,Surplus as regards polhldrs end cy,Premiums collected net of reins,Dividends paid to policyholders,Fed&frgn inc tax pd/rcv net tax g/l,Net cash from operations,"Net - cash,equiv & s-term invest",Benefit and loss related payments,"Commiss,exps & agg w-ins for deduct",Net - bonds,Net - preferred stocks,Net - common stocks,Net - properties occupied by comp,Net - other invested assets,Net - mort loans-first liens,Net - mort loans-other than first,Net - prop for prod of income,Net - properties held for sale,Net - derivatives( schedule db ),Iris  1 - gross prem to surplus,Iris  2 - net prem to surplus,Iris  3 - chg in net writings,Iris  4 - surplus aid to surplus,Iris  5 - 2-yr overall oper ratio,Iris  6 - investment yield,Iris  9 - liab to liquid assets,Iris 10 - agents' bal to surplus,Iris 11 - 1-yr res dev to surplus,Iris 12 - 2-yr res dev to surplus,Iris 13 - est cur res def to surp,Iris fails - # of val out of range,Iris  7 - gross change phs,Iris  8 - net change adj phs,Net - subtotals-cash & inv assets,Net - amount recov from reinsurers,Net - total assets,Reins payable on paid loss & lae,Unearned premiums,Total liabilities,Surplus as regards polhldrs end cy,Premiums collected net of reins,Dividends paid to policyholders,Fed&frgn inc tax pd/rcv net tax g/l,Net cash from operations,"Net - cash,equiv & s-term invest",Benefit and loss related payments,"Commiss,exps & agg w-ins for deduct",Net - bonds,Net - preferred stocks,Net - common stocks,Net - properties occupied by comp,Net - other invested assets,Net - mort loans-first liens,Net - mort loans-other than first,Net - prop for prod of income,Net - properties held for sale,Net - derivatives( schedule db ),Iris  1 - gross prem to surplus,Iris  2 - net prem to surplus,Iris  3 - chg in net writings,Iris  4 - surplus aid to surplus,Iris  5 - 2-yr overall oper ratio,Iris  6 - investment yield,Iris  9 - liab to liquid assets,Iris 10 - agents' bal to surplus,Iris 11 - 1-yr res dev to surplus,Iris 12 - 2-yr res dev to surplus,Iris 13 - est cur res def to surp,Iris fails - # of val out of range,Iris  7 - gross change phs,Iris  8 - net change adj phs,Net - subtotals-cash & inv assets,Net - amount recov from reinsurers,Net - total assets,Reins payable on paid loss & lae,Unearned premiums,Total liabilities,Surplus as regards polhldrs end cy,Premiums collected net of reins,Dividends paid to policyholders,Fed&frgn inc tax pd/rcv net tax g/l,Net cash from operations,"Net - cash,equiv & s-term invest",Benefit and loss related payments,"Commiss,exps & agg w-ins for deduct",Net - bonds,Net - preferred stocks,Net - common stocks,Net - properties occupied by comp,Net - other invested assets,Net - mort loans-first liens,Net - mort loans-other than first,Net - prop for prod of income,Net - properties held for sale,Net - derivatives( schedule db ),Iris  1 - gross prem to surplus,Iris  2 - net prem to surplus,Iris  3 - chg in net writings,Iris  4 - surplus aid to surplus,Iris  5 - 2-yr overall oper ratio,Iris  6 - investment yield,Iris  9 - liab to liquid assets,Iris 10 - agents' bal to surplus,Iris 11 - 1-yr res dev to surplus,Iris 12 - 2-yr res dev to surplus,Iris 13 - est cur res def to surp,Iris fails - # of val out of range,Iris  7 - gross change phs,Iris  8 - net change adj phs,Net - subtotals-cash & inv assets,Net - amount recov from reinsurers,Net - total assets,Reins payable on paid loss & lae,Unearned premiums,Total liabilities,Surplus as regards polhldrs end cy,Premiums collected net of reins,Dividends paid to policyholders,Fed&frgn inc tax pd/rcv net tax g/l,Net cash from operations,"Net - cash,equiv & s-term invest",Benefit and loss related payments,"Commiss,exps & agg w-ins for deduct",Net - bonds,Net - preferred stocks,Net - common stocks,Net - properties occupied by comp,Net - other invested assets,Net - mort loans-first liens,Net - mort loans-other than first,Net - prop for prod of income,Net - properties held for sale,Net - derivatives( schedule db ),Iris  1 - gross prem to surplus,Iris  2 - net prem to surplus,Iris  3 - chg in net writings,Iris  4 - surplus aid to surplus,Iris  5 - 2-yr overall oper ratio,Iris  6 - investment yield,Iris  9 - liab to liquid assets,Iris 10 - agents' bal to surplus,Iris 11 - 1-yr res dev to surplus,Iris 12 - 2-yr res dev to surplus,Iris 13 - est cur res def to surp,Iris fails - # of val out of range,Iris  7 - gross change phs,Iris  8 - net change adj phs,Net - subtotals-cash & inv assets,Net - amount recov from reinsurers,Net - total assets,Reins payable on paid loss & lae,Unearned premiums,Total liabilities,Surplus as regards polhldrs end cy,Premiums collected net of reins,Dividends paid to policyholders,Fed&frgn inc tax pd/rcv net tax g/l,Net cash from operations,"Net - cash,equiv & s-term invest",Benefit and loss related payments,"Commiss,exps & agg w-ins for deduct",Net - bonds,Net - preferred stocks,Net - common stocks,Net - properties occupied by comp,Net - other invested assets,Net - mort loans-first liens,Net - mort loans-other than first,Net - prop for prod of income,Net - properties held for sale,Net - derivatives( schedule db ),Total change in capital & surplus,Total change in capital & surplus,Total change in capital & surplus,Total change in capital & surplus,Total change in capital & surplus,Total change in capital & surplus
018680,00000,Accident Fund Group (G),204,112,-7,0,105,3.4,104,25,14,21,-15,3,-6,-6,2082587,91297,2814623,92889,304533,2166403,648219,745814,30287,-16232,20177,90270,519105,268396,1559023,0,228297,0,3446,123239,0,0,500,0,216,105,-17,0,116,2.9,99,29,10,24,-19,5,-11,-11,2049616,97884,2721356,103148,326064,2142455,578901,724755,29423,-32733,-20273,237878,538520,273578,1478992,20,199111,0,4992,104187,0,0,500,0,222,102,7,0,108,2.5,111,40,4,17,29,5,9,9,2105898,201396,3080804,217272,350721,2447200,633604,756940,27356,56,17854,124994,475035,294285,1649814,143,204567,0,3926,104503,0,0,393,0,244,104,10,0,96,1.8,99,40,3,8,46,3,8,8,2190982,117255,3003129,135600,387046,2319077,684052,790557,31883,7248,65281,163383,428656,308008,1670181,1642,224433,0,5032,104697,0,0,393,0,244,125,31,0,90,1.8,85,17,8,8,46,2,10,10,2287392,20223,2905880,40504,417953,2154944,750936,851437,33633,53339,112504,244527,465923,249539,1694384,3688,230057,0,6170,104761,0,0,0,0,275,131,13,1,84,2.5,102,41,-1,13,11,3,8,8,2448752,128518,3528085,147930,474017,2714257,813828,947382,12235,64705,222759,254858,421474,289763,1866894,2238,209123,0,5223,104681,0,0,0,0,-41703,-69318,54703,50448,66884,62892
000468,14184,Acuity A Mutual Insurance Company,94,89,5,0,92,3.7,64,4,-9,-11,-15,0,13,13,1827343,7373,2125992,0,359895,1300206,825786,731798,15977,13120,92178,45466,394636,287435,1314461,0,347874,45651,73425,0,0,0,0,0,96,92,8,0,91,3.7,63,4,-9,-17,-9,0,5,5,1911222,3406,2231677,0,389031,1361275,870403,780637,18617,11874,108432,36442,415208,303314,1393043,0,388749,44994,47418,0,0,0,173,0,99,94,17,0,88,3.6,59,4,-7,-14,0,0,14,14,2126849,4798,2475233,0,452255,1480967,994265,899079,19100,32198,156369,65505,438918,335503,1451625,0,564794,44428,0,0,0,0,106,0,94,89,15,0,85,3.4,55,3,-6,-12,3,0,21,21,2466532,3766,2826417,0,511292,1624095,1202322,1031968,19121,56433,191584,45450,481977,373259,1634821,0,737873,47851,0,0,0,0,0,0,94,90,11,0,86,3.6,55,3,-4,-10,0,0,10,10,2700306,5418,3100956,0,560208,1777557,1323400,1154209,18744,47875,210612,45005,567616,416090,1799442,0,772208,82652,0,0,0,0,0,0,93,89,7,0,85,3.8,57,3,-4,-8,-5,0,8,8,2897638,5283,3349528,0,595056,1919627,1429901,1249299,17566,59196,258899,51619,569279,467546,1937277,0,750235,158482,0,0,0,0,14,0,96078,44617,123863,208057,121078,106501
000106,00000,Alfa Insurance Group (G),197,100,5,0,102,3.8,125,4,0,-3,-2,2,2,2,1439002,62316,2078936,72061,380771,1024333,1054603,1028479,0,-10643,55698,230005,699028,366584,563225,22726,303389,49902,260907,0,0,8738,0,0,248,120,-1,0,106,3.5,146,7,2,-1,-2,4,-18,-18,1307468,68986,1975074,76667,385890,1110268,864806,1031090,0,-11841,-105588,207671,864464,362053,494003,32179,326892,48878,189146,0,0,8686,0,0,224,111,0,0,104,3.7,122,6,-1,-2,-3,2,8,8,1327897,48421,1997242,50843,378510,1061251,935991,1021094,0,-2837,53634,241366,665871,388382,496576,34781,332885,47284,166475,0,0,8524,0,0,215,105,5,0,93,4.6,102,7,-3,-3,-2,1,10,10,1440521,55184,2148455,57730,396411,1114429,1034026,1062134,0,1213,104201,289314,666805,385832,588546,19769,369786,44624,120082,0,0,8262,0,0,223,110,3,0,95,2.9,92,8,-1,-4,-3,1,-2,-2,1636771,63971,2240460,65966,405330,1225044,1015416,1100841,0,-4984,59877,316487,690790,434808,618894,22470,521535,42105,106932,0,0,7995,0,0,237,118,2,0,97,2.7,92,5,-2,-2,-5,1,-5,-5,1634332,70072,2216262,72775,413543,1251632,964630,1127587,0,8692,44536,315974,702073,447628,608271,22895,546238,42021,91257,0,0,7675,0,0,16235,-189797,71185,98035,-18611,-50785
018640,00000,Alleghany Insurance Holdings Group (G),94,70,-6,1,81,3.5,74,11,-2,0,-21,0,9,7,15824471,88016,17380368,170935,1398280,11451518,5928851,4267519,25,81183,977218,423201,2286515,1500477,13697601,5000,1468048,0,225333,0,0,0,0,0,103,78,2,1,91,3.4,78,12,-2,-2,-25,0,-8,-9,15944825,136886,17615608,137214,1476814,12178270,5437338,4174048,39,62498,804399,465657,2365855,1566315,13679358,57000,1523577,0,203938,0,0,0,0,0,93,70,-5,1,94,3.4,79,12,0,-2,-21,0,6,6,16845984,63012,18723301,119894,1467001,12939026,5784275,3982992,28,134620,679470,893889,2141915,1568815,13979248,75000,1619328,0,276267,0,0,0,0,0,84,62,0,0,83,3.1,77,13,-4,-3,-7,0,13,14,17632835,77147,19419707,150963,1536702,12894892,6524815,3911057,42,106101,875371,1214272,2212036,1467016,13263121,72011,2836074,0,241132,0,0,1789,0,0,85,62,1,1,76,2.8,76,13,-3,-8,6,1,0,0,17198537,83976,18943644,205258,1540929,12392585,6551059,4020364,68,353130,353271,849521,2310031,1643290,12809861,121241,3143996,0,271914,0,0,1743,0,38,84,62,0,1,77,2.8,76,11,-3,-6,4,1,1,1,16480271,99609,18310056,150489,1746601,11698954,6611101,4196059,22,292049,13676,521852,2608768,1719881,12119270,70734,3241484,0,323453,53384,124563,1697,0,64,467327,-491513,346937,740540,26244,60042
018429,00000,Allianz of America Companies (G),269,122,-9,0,93,5.1,99,45,6,8,-14,1,-5,9,11157203,429619,15289436,366334,2043396,11471367,3818069,4645965,3760,36024,276039,459163,2783851,2107954,10483238,0,13326,0,51825,135030,0,0,0,0,260,121,3,0,100,4.4,104,58,2,8,-17,2,4,1,11381421,499020,16070363,364995,1930126,12083282,3987081,4371816,1250,-21183,152956,148771,2588110,2147907,11052354,0,12408,0,59116,80393,0,0,0,46,252,129,-4,0,110,3.6,106,62,11,13,-21,5,-10,41,11800594,496602,16252221,370150,1843494,12672791,3579430,4744575,1285,-130948,64754,324353,3323278,1918323,11218735,0,9741,0,112530,115876,0,0,0,97,207,108,-17,0,107,3.5,100,32,-2,15,-14,1,-2,-3,11172249,482550,14425269,290464,1742875,10900218,3525051,4293302,1728,-14836,-384300,23078,3414897,1751418,10500657,0,41660,0,87809,370323,0,0,0,176,231,122,-1,0,100,3.7,99,24,11,6,-3,2,-13,-13,10766797,470783,13656163,238650,1740143,10574218,3081945,3939965,1853,-346592,310426,408510,2721691,1727214,9697930,0,48084,0,89141,441855,0,0,0,121,321,87,-37,1,102,3.4,100,28,-5,5,-37,5,-12,-68,9938325,639375,12487573,498382,1172013,9771465,2716108,2471239,821,88909,-906658,179821,2434846,1564522,9110849,0,35634,0,119984,414309,0,0,0,0,-203617,169012,-405050,-54379,-440206,-365837
018591,00000,Allied World Assurance Group (G),106,26,7,1,71,3.0,65,9,-1,-7,-12,0,8,7,1599262,63374,1990475,30243,152179,985859,1004616,206243,0,31145,56609,110463,51176,122646,1414901,0,73763,0,0,0,0,0,0,0,111,26,7,1,79,2.5,65,10,-1,-3,-6,1,5,4,1704855,95281,2106825,19467,162684,1052383,1054441,316553,0,19604,106968,119545,124933,114952,1421457,0,163120,0,0,0,0,0,0,0,158,30,20,0,85,1.8,75,11,-1,-4,-2,1,5,5,1812302,170088,2475995,44094,181335,1365477,1110518,305675,0,27376,49224,180426,158368,118775,1407856,0,220731,0,0,0,0,0,0,0,179,34,19,1,89,1.4,74,12,0,-5,2,1,5,-7,1842491,148674,2625475,3329,204352,1458519,1166956,341624,0,18611,80947,143611,158335,124600,1313652,0,373859,0,2058,0,0,0,0,0,190,36,12,1,87,1.8,76,15,-1,-1,2,1,5,4,1855040,194009,2704938,8191,242498,1482355,1222582,340021,0,19074,-32179,179279,223434,172055,1158336,0,446811,0,68346,0,0,0,0,0,203,39,8,1,89,2.0,79,16,0,-2,3,1,0,-1,1905629,193912,2825038,4602,259679,1608484,1216554,489048,0,3888,121600,160020,200115,202700,1447325,0,268189,0,11899,0,0,0,0,0,75725,49825,56077,56438,55626,-6028
