,,,#NAME?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ST12185,ST00194,ST07430,ST12179,ST00200,ST12180,ST00206,ST12181,ST00208,ST00209,ST00212,ST00213,ST00214,ST00215,ST00216,ST00217,ST00219,ST00220,ST00221,ST00222,ST00230,ST00231,ST00232,ST00233,ST00235,ST00236,ST00237,ST07452,ST07453,ST12182,ST12183,ST00226,ST10056,ST00238,ST12184,ST07458,ST00242,ST00243,ST00244,ST12185,ST00194,ST07430,ST12179,ST00200,ST12180,ST00206,ST12181,ST00208,ST00209,ST00212,ST00213,ST00214,ST00215,ST00216,ST00217,ST00219,ST00220,ST00221,ST00222,ST00230,ST00231,ST00232,ST00233,ST00235,ST00236,ST00237,ST07452,ST07453,ST12182,ST12183,ST00226,ST10056,ST00238,ST12184,ST07458,ST00242,ST00243,ST00244,ST12185,ST00194,ST07430,ST12179,ST00200,ST12180,ST00206,ST12181,ST00208,ST00209,ST00212,ST00213,ST00214,ST00215,ST00216,ST00217,ST00219,ST00220,ST00221,ST00222,ST00230,ST00231,ST00232,ST00233,ST00235,ST00236,ST00237,ST07452,ST07453,ST12182,ST12183,ST00226,ST10056,ST00238,ST12184,ST07458,ST00242,ST00243,ST00244,ST12185,ST00194,ST07430,ST12179,ST00200,ST12180,ST00206,ST12181,ST00208,ST00209,ST00212,ST00213,ST00214,ST00215,ST00216,ST00217,ST00219,ST00220,ST00221,ST00222,ST00230,ST00231,ST00232,ST00233,ST00235,ST00236,ST00237,ST07452,ST07453,ST12182,ST12183,ST00226,ST10056,ST00238,ST12184,ST07458,ST00242,ST00243,ST00244
AMB#,NAIC#,Company Name,Net $    tax on cap gn(ls) (i),Prems collected net of reinsurance,Cash-net investment income,Miscellaneous income (cash flow),Total (1) - cash from operations,Benefit & loss related payments,"Net tran to sep, seg, prot cell act","Comm, exp & agg wr-ins for deduct",Dividends paid to policyholders,Fed & fgn income taxes paid (recov),Total (2) - cash from operations,Net cash from operations,Proceeds from bonds,Proceeds from stocks,Proceeds from mortgage loans,Proceeds from real estate,Proceeds from other inv assets,"Net gn on csh, eqiv & sh-term inv",Miscellaneous proceeds,Total investment proceeds,Cost of inv acq bonds,Cost of inv acq stocks,Cost of inv acq mortgage loans,Cost of inv acq real estate,Cost of inv acq oth inv assets,Cost of inv acq misc applic,Cost of inv acq total,Cash-nt incr/decr cnt lns & prm nts,Cash-nt cash from investments,"Surplus notes, capital notes",Surplus less treasury stock,Borrowed funds,Net dep on deposit-type contracts,Dividends to stockholder,Other cash provided (applied),Net cash from finan & misc sources,"Net chng in cash, eq & shrt-trm inv","Cash, eq & shrt-trm inv beg of year","Cash, eq & shrt-trm inv end of year",Net $    tax on cap gn(ls) (i),Prems collected net of reinsurance,Cash-net investment income,Miscellaneous income (cash flow),Total (1) - cash from operations,Benefit & loss related payments,"Net tran to sep, seg, prot cell act","Comm, exp & agg wr-ins for deduct",Dividends paid to policyholders,Fed & fgn income taxes paid (recov),Total (2) - cash from operations,Net cash from operations,Proceeds from bonds,Proceeds from stocks,Proceeds from mortgage loans,Proceeds from real estate,Proceeds from other inv assets,"Net gn on csh, eqiv & sh-term inv",Miscellaneous proceeds,Total investment proceeds,Cost of inv acq bonds,Cost of inv acq stocks,Cost of inv acq mortgage loans,Cost of inv acq real estate,Cost of inv acq oth inv assets,Cost of inv acq misc applic,Cost of inv acq total,Cash-nt incr/decr cnt lns & prm nts,Cash-nt cash from investments,"Surplus notes, capital notes",Surplus less treasury stock,Borrowed funds,Net dep on deposit-type contracts,Dividends to stockholder,Other cash provided (applied),Net cash from finan & misc sources,"Net chng in cash, eq & shrt-trm inv","Cash, eq & shrt-trm inv beg of year","Cash, eq & shrt-trm inv end of year",Net $    tax on cap gn(ls) (i),Prems collected net of reinsurance,Cash-net investment income,Miscellaneous income (cash flow),Total (1) - cash from operations,Benefit & loss related payments,"Net tran to sep, seg, prot cell act","Comm, exp & agg wr-ins for deduct",Dividends paid to policyholders,Fed & fgn income taxes paid (recov),Total (2) - cash from operations,Net cash from operations,Proceeds from bonds,Proceeds from stocks,Proceeds from mortgage loans,Proceeds from real estate,Proceeds from other inv assets,"Net gn on csh, eqiv & sh-term inv",Miscellaneous proceeds,Total investment proceeds,Cost of inv acq bonds,Cost of inv acq stocks,Cost of inv acq mortgage loans,Cost of inv acq real estate,Cost of inv acq oth inv assets,Cost of inv acq misc applic,Cost of inv acq total,Cash-nt incr/decr cnt lns & prm nts,Cash-nt cash from investments,"Surplus notes, capital notes",Surplus less treasury stock,Borrowed funds,Net dep on deposit-type contracts,Dividends to stockholder,Other cash provided (applied),Net cash from finan & misc sources,"Net chng in cash, eq & shrt-trm inv","Cash, eq & shrt-trm inv beg of year","Cash, eq & shrt-trm inv end of year",Net $    tax on cap gn(ls) (i),Prems collected net of reinsurance,Cash-net investment income,Miscellaneous income (cash flow),Total (1) - cash from operations,Benefit & loss related payments,"Net tran to sep, seg, prot cell act","Comm, exp & agg wr-ins for deduct",Dividends paid to policyholders,Fed & fgn income taxes paid (recov),Total (2) - cash from operations,Net cash from operations,Proceeds from bonds,Proceeds from stocks,Proceeds from mortgage loans,Proceeds from real estate,Proceeds from other inv assets,"Net gn on csh, eqiv & sh-term inv",Miscellaneous proceeds,Total investment proceeds,Cost of inv acq bonds,Cost of inv acq stocks,Cost of inv acq mortgage loans,Cost of inv acq real estate,Cost of inv acq oth inv assets,Cost of inv acq misc applic,Cost of inv acq total,Cash-nt incr/decr cnt lns & prm nts,Cash-nt cash from investments,"Surplus notes, capital notes",Surplus less treasury stock,Borrowed funds,Net dep on deposit-type contracts,Dividends to stockholder,Other cash provided (applied),Net cash from finan & misc sources,"Net chng in cash, eq & shrt-trm inv","Cash, eq & shrt-trm inv beg of year","Cash, eq & shrt-trm inv end of year"
070388,00000,AAA Life Group (G),0,580128,105976,76415,762519,243369,0,314667,0,12169,570205,192314,508420,9828,0,0,2468,12,14092,534820,727886,11536,0,0,30,-1075,738377,1901,-205457,0,33600,0,-3998,0,2738,32340,19197,63471,82668,0,505363,96733,68374,670469,204889,0,289776,0,5736,500402,170068,338942,8570,0,0,620,2,-4516,343619,495880,8612,0,0,4,-67,504429,3481,-164292,0,37900,0,-4766,0,-9019,24114,29890,33581,63471,0,413493,92158,60258,565910,192499,0,264094,0,10252,466846,99064,517383,5609,0,0,959,7,-253,523705,638869,4249,0,0,0,-430,642688,1825,-120809,0,32500,0,-6310,0,-5651,20539,-1206,34787,33581,0,363772,90945,55678,510395,180381,0,234034,0,8677,423091,87303,653555,5872,0,0,3654,4,-6986,656098,748555,4255,0,0,1106,1173,755089,2266,-101257,0,9000,0,-601,0,-1825,6575,-7379,42166,34787
070486,00000,Advantage Capital Life Group (G),0,-34591,56719,39543,61672,36371,0,89070,32,-1179,124295,-62623,521040,22057,22611,1495,77174,0,973,645350,648044,13854,97836,2715,147827,11398,921674,-595,-275729,8750,13250,0,-20499,69,309872,311304,-27048,123191,96143,0,81020,43263,30925,155208,20426,0,79876,20,-1036,99286,55922,334892,10751,7539,1015,20526,1,12843,387566,443469,10576,40668,1489,78244,172,574617,-59,-186993,15000,0,0,80140,139,44605,139607,8536,114655,123191,0,-36200,43411,30095,37306,30517,0,99075,23,-52,129563,-92257,733059,7189,1072,0,7586,0,19223,768130,538436,22520,19165,3767,47730,858,632475,91,135563,2250,3658,0,7900,603,15100,28305,71611,43043,114655,0,423112,50146,47531,520789,40993,0,93038,19,934,134983,385805,220444,4966,15105,1097,0,0,822,242434,513778,3217,15000,2014,5080,1738,540826,96,-298488,0,-42,0,56,646,-119368,-120000,-32683,75726,43043
069707,00000,Aegon USA Group (G),73447,23840080,3682008,2262121,29784209,21374474,5072399,4119706,8976,382154,30957708,-1173499,19939861,109398,1620114,1804,1152547,-6,369357,23193074,17999272,25075,1510148,11485,1943841,964006,22453826,-48833,788081,0,-627213,-142633,-333257,0,854460,-248644,-634063,4209744,3575681,125509,27986103,3734280,6004772,37725155,20114291,7789210,6398066,9566,276970,34588104,3137051,11961839,113218,1369226,32167,789317,16,896169,15161952,9995271,340532,1518273,20526,485031,271892,12631526,-49614,2580041,0,120319,467695,-616622,731850,-3652454,-4412912,1304180,2905565,4209744,50762,23451027,3874220,2000516,29325763,17663816,5675792,5823227,10098,-122316,29050616,275147,12470374,128107,1711138,6850,748110,42,73898,15138520,12378992,54592,1447132,11465,246967,2996258,17135407,-39155,-1957732,0,-1317,150694,-1749034,385000,-144718,-2129374,-3811960,6717524,2905565,242169,19167993,4526301,-329231,23365064,16218341,4626453,2024489,10606,189949,23069838,295226,18355940,164201,1982565,22925,626295,18,1680803,22832746,13042593,110752,508076,8119,357240,616626,14643405,-60165,8249506,0,0,206015,-828271,1167000,-4365188,-6154443,2390289,4327235,6717524
070202,00000,Aetna Life Group (G),4173,19505789,658761,715095,20879645,15431286,-75083,3022600,36,991848,19370687,1508958,4787378,5243,215691,10108,216504,26,706006,5940956,4428302,4027,212617,20930,193680,44451,4904007,-44,1036994,0,16759,-201656,39890,1537800,-30158,-1712965,832987,334182,1167170,-1276,17573291,713717,718553,19005561,14430309,-79112,2686568,30,720118,17757913,1247647,4788634,20873,204387,0,145055,-7,7931,5166874,4939806,9875,217023,11135,177142,126749,5481730,-432,-314424,0,62000,201656,-27431,580600,-464061,-808436,124787,198825,323613,2947,14680328,731157,700761,16112245,12666672,-96694,2231428,157,494017,15295579,816666,5433059,21778,289124,8495,194384,-390,57060,6003510,5387170,34063,194995,31086,124639,582745,6354697,-344,-350844,0,38000,0,82563,1170300,642134,-407603,58218,140607,198825,1162,14954273,801650,554770,16310693,11744868,941046,2126168,18,622494,15434594,876099,5325420,27117,158635,2499,105966,6,15074,5634717,5170344,19202,177007,25344,209685,63399,5664980,-238,-30024,0,0,0,-116262,1122000,136933,-1101329,-255254,395861,140607
069824,00000,Aflac Incorporated Group (G),0,17149838,3237465,659198,21046501,7675408,0,5253928,4,1046196,13975536,7070964,5016682,1216,2530,907,0,0,154382,5175718,5028714,1164881,0,1590,302,2386861,8582348,17783,-3424413,0,0,0,83969,2392585,-1564664,-3873280,-226729,2147098,1920369,0,19624883,2841328,360508,22826720,8399802,0,5348606,4,1455139,15203551,7623169,5285917,301,1078,74,28475,0,338238,5654084,10784731,254965,0,1221,0,823406,11864323,-1737,-6208502,0,0,0,61268,1473220,-3255080,-4667032,-3252365,5399463,2147098,0,22778019,3356761,110417,26245197,8864736,0,5641559,5,778381,15284681,10960516,13448745,218,2122,0,0,0,-1078,13450006,21589606,60000,0,611,0,468698,22118915,-9462,-8659446,0,0,0,61431,962039,-2304456,-3205064,-903994,6303457,5399463,0,30106995,3248750,130064,33485809,10030347,0,6331052,6,789871,17151276,16334532,12849241,377,1719,0,302225,0,30654,13184217,29350699,442562,231,1370,176428,2,29971292,5201,-16792276,0,25000,0,32184,0,5130211,5187395,4729651,1573806,6303457
070342,00000,AIG Life & Retirement Group (G),0,24137595,9320374,1632769,35090739,20960477,2848136,3795845,28347,161206,27794011,7296728,28038121,157614,2645163,49303,4171018,-4310,-131483,34925426,29757618,196718,5376299,-32805,5223449,1369113,41890393,-107881,-6857085,0,-1733,-42136,-547701,5273280,4339735,-1525115,-1085472,1352708,267236,0,22176620,11140326,1682004,34998950,20765062,3040878,3490562,30278,127288,27454067,7544882,24271781,776905,2413305,190362,3745954,0,4681097,36079404,22507875,589094,3612292,65902,4546492,211006,31532660,-101608,4648351,0,467947,-5172,262932,6358194,-6537014,-12169500,23733,1328976,1352708,0,21399300,8915477,1451078,31765855,19322541,2324170,3363722,31266,84866,25126565,6639291,52218293,224157,2192782,213663,4016921,1086,-599255,58267648,50899601,-351646,3135335,13040,4289114,1742142,59727587,-76258,-1383681,0,-1883053,-31812,-2802576,3254196,1198210,-6773427,-1517817,2846793,1328976,-13494,15934223,8793017,-79151,24648089,18322092,-13611,2055999,41515,132720,20538716,4109373,40404069,-4231462,1666319,153781,3223330,0,80066,41296103,39229012,-4991534,2016428,82117,3381990,3456790,43174803,-108413,-1770287,0,-3662675,81510,-1075238,1061300,3721987,-1995717,343370,2503423,2846793
