,,,#NAME?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CO00002,CO00001,CO00030,CO00031,CO00032,CO00033,CO00034,CO00035,CO00003,CO00010,CO00011,CO00020,CO00022,CO00046,CO00040,CO00041,CO00065,CO00063,CO00064,CO00045,CO00049,CO00055,SF00025,SF00039,SF08536,SF00075,SF00088,SF00095,SF00096,SF00097,SF07772,SF00115,SF00569,SF00734,SF00113,SF00103,SF05864,SF05867,SF05865,SF05871,SF05870,SF05872,CO00002,CO00001,CO00030,CO00031,CO00032,CO00033,CO00034,CO00035,CO00003,CO00010,CO00011,CO00020,CO00022,CO00046,CO00040,CO00041,CO00065,CO00063,CO00064,CO00045,CO00049,CO00055,SF00025,SF00039,SF08536,SF00075,SF00088,SF00095,SF00096,SF00097,SF07772,SF00115,SF00569,SF00734,SF00113,SF00103,SF05864,SF05867,SF05865,SF05871,SF05870,SF05872,CO00002,CO00001,CO00030,CO00031,CO00032,CO00033,CO00034,CO00035,CO00003,CO00010,CO00011,CO00020,CO00022,CO00046,CO00040,CO00041,CO00065,CO00063,CO00064,CO00045,CO00049,CO00055,SF00025,SF00039,SF08536,SF00075,SF00088,SF00095,SF00096,SF00097,SF07772,SF00115,SF00569,SF00734,SF00113,SF00103,SF05864,SF05867,SF05865,SF05871,SF05870,SF05872,CO00002,CO00001,CO00030,CO00031,CO00032,CO00033,CO00034,CO00035,CO00003,CO00010,CO00011,CO00020,CO00022,CO00046,CO00040,CO00041,CO00065,CO00063,CO00064,CO00045,CO00049,CO00055,SF00025,SF00039,SF08536,SF00075,SF00088,SF00095,SF00096,SF00097,SF07772,SF00115,SF00569,SF00734,SF00113,SF00103,SF05864,SF05867,SF05865,SF05871,SF05870,SF05872
AMB#,NAIC#,Company Name,AMB Number,AMB Company Name,Street Address 1,Street Address 2,Street Address 3,City,State,Postal Code,NAIC Company Number,Top Officer,Top Officer's Title,Telephone Number,Fax Number,Best's Financial Strength Rating Effective Date - Current,Best's Financial Strength Rating - Current (without modifier),Best's Financial Strength Rating Modifier - Current,Best's Financial Strength Rating Effective Date - Previous,Best's Financial Strength Rating - Previous (without modifier),Best's Financial Strength Rating Modifier - Previous,Financial Size Category,Best's Long-Term Issuer Credit Rating - Current (without modifier),Best's Long-Term Issuer Credit Rating - Previous (without modifier),Net - subtotals-cash & inv assets,Net - total assets,Loss and lae reserves calc,Total liabilities,Surplus as regards policyholders,Premiums earned,Losses incurred,Loss adj expenses incurred,Pre-tax operating income calc,Net income,Direct business - total,Net prem written - total,"Net inc aft div&cg tax, bef f&f tax",Net realized capital gains (losses),Combined ratio,Yield on invested assets,Pretax (ror)%,Npw to phs,Net leverage,Overall liquidity,AMB Number,AMB Company Name,Street Address 1,Street Address 2,Street Address 3,City,State,Postal Code,NAIC Company Number,Top Officer,Top Officer's Title,Telephone Number,Fax Number,Best's Financial Strength Rating Effective Date - Current,Best's Financial Strength Rating - Current (without modifier),Best's Financial Strength Rating Modifier - Current,Best's Financial Strength Rating Effective Date - Previous,Best's Financial Strength Rating - Previous (without modifier),Best's Financial Strength Rating Modifier - Previous,Financial Size Category,Best's Long-Term Issuer Credit Rating - Current (without modifier),Best's Long-Term Issuer Credit Rating - Previous (without modifier),Net - subtotals-cash & inv assets,Net - total assets,Loss and lae reserves calc,Total liabilities,Surplus as regards policyholders,Premiums earned,Losses incurred,Loss adj expenses incurred,Pre-tax operating income calc,Net income,Direct business - total,Net prem written - total,"Net inc aft div&cg tax, bef f&f tax",Net realized capital gains (losses),Combined ratio,Yield on invested assets,Pretax (ror)%,Npw to phs,Net leverage,Overall liquidity,AMB Number,AMB Company Name,Street Address 1,Street Address 2,Street Address 3,City,State,Postal Code,NAIC Company Number,Top Officer,Top Officer's Title,Telephone Number,Fax Number,Best's Financial Strength Rating Effective Date - Current,Best's Financial Strength Rating - Current (without modifier),Best's Financial Strength Rating Modifier - Current,Best's Financial Strength Rating Effective Date - Previous,Best's Financial Strength Rating - Previous (without modifier),Best's Financial Strength Rating Modifier - Previous,Financial Size Category,Best's Long-Term Issuer Credit Rating - Current (without modifier),Best's Long-Term Issuer Credit Rating - Previous (without modifier),Net - subtotals-cash & inv assets,Net - total assets,Loss and lae reserves calc,Total liabilities,Surplus as regards policyholders,Premiums earned,Losses incurred,Loss adj expenses incurred,Pre-tax operating income calc,Net income,Direct business - total,Net prem written - total,"Net inc aft div&cg tax, bef f&f tax",Net realized capital gains (losses),Combined ratio,Yield on invested assets,Pretax (ror)%,Npw to phs,Net leverage,Overall liquidity,AMB Number,AMB Company Name,Street Address 1,Street Address 2,Street Address 3,City,State,Postal Code,NAIC Company Number,Top Officer,Top Officer's Title,Telephone Number,Fax Number,Best's Financial Strength Rating Effective Date - Current,Best's Financial Strength Rating - Current (without modifier),Best's Financial Strength Rating Modifier - Current,Best's Financial Strength Rating Effective Date - Previous,Best's Financial Strength Rating - Previous (without modifier),Best's Financial Strength Rating Modifier - Previous,Financial Size Category,Best's Long-Term Issuer Credit Rating - Current (without modifier),Best's Long-Term Issuer Credit Rating - Previous (without modifier),Net - subtotals-cash & inv assets,Net - total assets,Loss and lae reserves calc,Total liabilities,Surplus as regards policyholders,Premiums earned,Losses incurred,Loss adj expenses incurred,Pre-tax operating income calc,Net income,Direct business - total,Net prem written - total,"Net inc aft div&cg tax, bef f&f tax",Net realized capital gains (losses),Combined ratio,Yield on invested assets,Pretax (ror)%,Npw to phs,Net leverage,Overall liquidity
018680,00000,Accident Fund Group (G),018680,Accident Fund Group,P.O. Box 40790,...,...,Lansing,MI,48901-7990,00000,Elizabeth R. Haar,President & CEO,866-206-5851,517-367-2925,...,...,...,...,...,...,...,...,...,2448752,3528085,1186048,2714257,813828,1010433,513202,134888,195685,144215,1141126,1062231,204280,8595,83.9,2.5,19.4,1.3,4.6,130.0,018680,Accident Fund Group,P.O. Box 40790,...,...,Lansing,MI,48901-7990,00000,Elizabeth R. Haar,President & CEO,866-206-5851,517-367-2925,...,...,...,...,...,...,...,...,...,2287392,2905880,1021145,2154944,750936,914901,543990,115647,106313,98267,946574,937771,131123,24809,91.9,1.8,11.6,1.2,4.1,134.9,018680,Accident Fund Group,P.O. Box 40790,...,...,Lansing,MI,48901-7990,00000,Elizabeth R. Haar,President & CEO,866-206-5851,517-367-2925,...,...,...,...,...,...,...,...,...,2190982,3003129,882186,2319077,684052,684315,342380,105964,37955,46472,870054,714694,52026,14070,98.2,1.8,5.5,1.0,4.4,129.5,018680,Accident Fund Group,P.O. Box 40790,...,...,Lansing,MI,48901-7990,00000,Elizabeth R. Haar,President & CEO,866-206-5851,517-367-2925,...,...,...,...,...,...,...,...,...,2105898,3080804,969382,2447200,633604,629730,346660,113826,-129,51384,824376,647085,37640,37769,106.9,2.5,0.0,1.0,4.7,125.9
000468,14184,Acuity A Mutual Insurance Company,000468,Acuity A Mutual Insurance Company,P.O. Box 58,...,...,Sheboygan,WI,53082-0058,14184,Benjamin M. Salzmann,President & CEO,920-458-9131,920-458-1618,12/9/2016,A+,...,12/8/2015,A+,...,XIV ($1.50 Billion to $2.00 Billion),aa,aa,2897638,3349528,1169508,1919627,1429901,1235088,641277,123661,183767,141973,1330076,1269936,196945,13178,93.0,3.8,14.9,0.9,2.2,174.5,000468,Acuity A Mutual Insurance Company,P.O. Box 58,...,...,Sheboygan,WI,53082-0058,14184,Benjamin M. Salzmann,President & CEO,920-458-9131,920-458-1618,12/9/2016,A+,...,12/8/2015,A+,...,XIV ($1.50 Billion to $2.00 Billion),aa,aa,2700306,3100956,1079512,1777557,1323400,1140264,634959,107809,140065,113215,1242975,1189180,150297,10232,94.8,3.6,12.3,0.9,2.2,174.5,000468,Acuity A Mutual Insurance Company,P.O. Box 58,...,...,Sheboygan,WI,53082-0058,14184,Benjamin M. Salzmann,President & CEO,920-458-9131,920-458-1618,12/9/2016,A+,...,12/8/2015,A+,...,XIV ($1.50 Billion to $2.00 Billion),aa,aa,2466532,2826417,995156,1624095,1202322,1014983,538185,91396,141405,111074,1124310,1074020,153105,11700,92.4,3.4,13.9,0.9,2.2,174.0,000468,Acuity A Mutual Insurance Company,P.O. Box 58,...,...,Sheboygan,WI,53082-0058,14184,Benjamin M. Salzmann,President & CEO,920-458-9131,920-458-1618,12/9/2016,A+,...,12/8/2015,A+,...,XIV ($1.50 Billion to $2.00 Billion),aa,aa,2126849,2475233,929733,1480967,994265,874611,465731,87174,107176,95365,982923,937835,125842,18666,94.2,3.6,12.3,0.9,2.4,167.1
000106,00000,Alfa Insurance Group (G),000106,Alfa Insurance Group,P.O. Box 11000,...,...,Montgomery,AL,36191-0001,00000,James L. Parnell,"Chairman, President & CEO",334-288-3900,...,...,...,...,...,...,...,...,...,...,1634332,2216262,433380,1251632,964630,1130192,727376,69986,38081,53759,1137712,1138406,52403,14322,102.3,2.7,3.4,1.2,2.5,177.1,000106,Alfa Insurance Group,P.O. Box 11000,...,...,Montgomery,AL,36191-0001,00000,James L. Parnell,"Chairman, President & CEO",334-288-3900,...,...,...,...,...,...,...,...,...,...,1636771,2240460,404280,1225044,1015416,1111165,711904,68132,33608,31000,1119489,1120084,30765,-2842,102.7,2.9,3.0,1.1,2.3,182.9,000106,Alfa Insurance Group,P.O. Box 11000,...,...,Montgomery,AL,36191-0001,00000,James L. Parnell,"Chairman, President & CEO",334-288-3900,...,...,...,...,...,...,...,...,...,...,1440521,2148455,380690,1114429,1034026,1072114,665187,68986,75533,90367,1096790,1090015,91617,16084,100.1,4.6,7.0,1.1,2.1,192.8,000106,Alfa Insurance Group,P.O. Box 11000,...,...,Montgomery,AL,36191-0001,00000,James L. Parnell,"Chairman, President & CEO",334-288-3900,...,...,...,...,...,...,...,...,...,...,1327897,1997242,375484,1061251,935991,1044801,652145,67989,67823,40308,1049899,1037420,37671,-30152,100.7,3.7,6.5,1.1,2.2,188.2
018640,00000,Alleghany Insurance Holdings Group (G),018640,Alleghany Insurance Holdings Group,945 East Paces Ferry Road,Suite 1800,...,Atlanta,GA,30326-1160,00000,Weston M. Hicks,President & CEO,404-231-2366,404-231-3755,...,...,...,...,...,...,...,...,...,16480271,18310056,9120815,11698954,6611101,3871409,1820800,265477,831337,724581,1478992,4073828,903608,72272,89.4,2.8,21.5,0.6,2.4,157.0,018640,Alleghany Insurance Holdings Group,945 East Paces Ferry Road,Suite 1800,...,Atlanta,GA,30326-1160,00000,Weston M. Hicks,President & CEO,404-231-2366,404-231-3755,...,...,...,...,...,...,...,...,...,17198537,18943644,9817106,12392585,6551059,4074962,1979990,248731,939062,775759,1499880,4078188,1063161,124098,89.4,2.8,23.0,0.6,2.5,153.4,018640,Alleghany Insurance Holdings Group,945 East Paces Ferry Road,Suite 1800,...,Atlanta,GA,30326-1160,00000,Weston M. Hicks,President & CEO,404-231-2366,404-231-3755,...,...,...,...,...,...,...,...,...,17632835,19419707,10196013,12894892,6524815,3950730,1954899,237602,928862,897012,1451392,4019775,1013594,84732,89.4,3.1,23.5,0.6,2.6,151.1,018640,Alleghany Insurance Holdings Group,945 East Paces Ferry Road,Suite 1800,...,Atlanta,GA,30326-1160,00000,Weston M. Hicks,President & CEO,404-231-2366,404-231-3755,...,...,...,...,...,...,...,...,...,16845984,18723301,10475158,12939026,5784275,4034197,2612794,243447,447287,506477,1231441,4024435,574475,127188,103.9,3.4,11.1,0.7,2.9,145.0
018429,00000,Allianz of America Companies (G),018429,Allianz of America Companies,225 W. Washington Street,Suite 2000,...,Chicago,IL,60606-3484,00000,Dr. Henning Schulte-Noelle,Chrm.,818-260-7500,818-260-7207,...,...,...,...,...,...,...,...,...,9938325,12487573,6642921,9771465,2716108,2912445,1915585,389849,223466,254949,4097800,2359962,230749,7283,123.4,3.4,7.7,0.9,4.4,128.7,018429,Allianz of America Companies,225 W. Washington Street,Suite 2000,...,Chicago,IL,60606-3484,00000,Dr. Henning Schulte-Noelle,Chrm.,818-260-7500,818-260-7207,...,...,...,...,...,...,...,...,...,10766797,13656163,7378002,10574218,3081945,3755459,2619855,483811,-168939,185598,4437278,3759921,-164955,3985,115.8,3.7,-4.5,1.2,4.6,129.8,018429,Allianz of America Companies,225 W. Washington Street,Suite 2000,...,Chicago,IL,60606-3484,00000,Dr. Henning Schulte-Noelle,Chrm.,818-260-7500,818-260-7207,...,...,...,...,...,...,...,...,...,11172249,14425269,7449395,10900218,3525051,3909056,2428000,335620,232516,234073,4251391,3814172,233270,754,105.0,3.5,5.9,1.1,4.1,132.9,018429,Allianz of America Companies,225 W. Washington Street,Suite 2000,...,Chicago,IL,60606-3484,00000,Dr. Henning Schulte-Noelle,Chrm.,818-260-7500,818-260-7207,...,...,...,...,...,...,...,...,...,11800594,16252221,8624269,12672791,3579430,4706837,3778590,720620,-745190,-718521,5424062,4617127,-718506,26684,124.0,3.6,-15.8,1.3,4.8,128.7
