,,,#NAME?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SF06024,SF00049,SF00050,SF00052,SF06027,SF14222,SF16576,SF05379,SF05380,SF00082,SF00083,SF00084,SF00085,SF00042,SF00043,SF00044,SF00045,SF00046,SF00047,SF07651,SF06025,SF06026,SF00053,SF06679,SF00054,SF00055,SF06028,SF00056,SF00057,SF05377,SF00067,SF00069,SF00070,SF00071,SF13842,SF00072,SF13843,SF00073,SF05378,SF00074,SF06680,SF06681,SF00075,SF00076,SF00077,SF00078,SF00079,SF04266,SF00080,SF00081,SF00086,SF00087,SF00088,SF00089,SF00090,SF00091,SF07873,SF00094,SF06024,SF00049,SF00050,SF00052,SF06027,SF14222,SF16576,SF05379,SF05380,SF00082,SF00083,SF00084,SF00085,SF00042,SF00043,SF00044,SF00045,SF00046,SF00047,SF07651,SF06025,SF06026,SF00053,SF06679,SF00054,SF00055,SF06028,SF00056,SF00057,SF05377,SF00067,SF00069,SF00070,SF00071,SF13842,SF00072,SF13843,SF00073,SF05378,SF00074,SF06680,SF06681,SF00075,SF00076,SF00077,SF00078,SF00079,SF04266,SF00080,SF00081,SF00086,SF00087,SF00088,SF00089,SF00090,SF00091,SF07873,SF00094,SF06024,SF00049,SF00050,SF00052,SF06027,SF14222,SF16576,SF05379,SF05380,SF00082,SF00083,SF00084,SF00085,SF00042,SF00043,SF00044,SF00045,SF00046,SF00047,SF07651,SF06025,SF06026,SF00053,SF06679,SF00054,SF00055,SF06028,SF00056,SF00057,SF05377,SF00067,SF00069,SF00070,SF00071,SF13842,SF00072,SF13843,SF00073,SF05378,SF00074,SF06680,SF06681,SF00075,SF00076,SF00077,SF00078,SF00079,SF04266,SF00080,SF00081,SF00086,SF00087,SF00088,SF00089,SF00090,SF00091,SF07873,SF00094,SF06024,SF00049,SF00050,SF00052,SF06027,SF14222,SF16576,SF05379,SF05380,SF00082,SF00083,SF00084,SF00085,SF00042,SF00043,SF00044,SF00045,SF00046,SF00047,SF07651,SF06025,SF06026,SF00053,SF06679,SF00054,SF00055,SF06028,SF00056,SF00057,SF05377,SF00067,SF00069,SF00070,SF00071,SF13842,SF00072,SF13843,SF00073,SF05378,SF00074,SF06680,SF06681,SF00075,SF00076,SF00077,SF00078,SF00079,SF04266,SF00080,SF00081,SF00086,SF00087,SF00088,SF00089,SF00090,SF00091,SF07873,SF00094
AMB#,NAIC#,Company Name,Fed&forgn tax on real cap g/l (i),Borrowed money (i),Interest on borrowed money (i),Ceded rein unearned premiums (i),Unearned prem warranty reserves (i),Accrued accident & health rating refunds (i),Provision for reins (including $  certified) (i),Cap notes (i),Interest thereon (i),Treas stock - shares common (i),Treas stock - value common 30 (i),Treas stock - shares preferred (i),Treas stock - value prfd 31 (i),Losses,Reins payable on paid loss & lae,Loss adjustment expenses,Commis pay/contin commis & oth chgs,Other expenses,Taxes licenses & fees,Current federal & foreign inc taxes,Net deferred tax liability,Borrowed money & interest thereon,Unearned premiums,Advance premium,Divs decl & unpaid - stockholders,Divs decl & unpaid - policyholders,Ceded reins premiums payable,Funds held reinsurance treaties,Amts withheld or retnd for others,Remittances and items not allocated,Provision for reinsurance,Net adj ast/liab due frgn exch rate,Drafts outstanding,Payable to parent subs & affiliates,Derivatives,Payable for securities,Payable for securities lending,Liab amounts held under unins plans,Capital notes and interest thereon,Aggregate write-ins for liabilities,Total liabs excl prot cell liabs,Protected cell liabilities,Total liabilities,Agg w-i for special surplus funds,Common capital stock,Preferred capital stock,Agg w-i oth than special surp funds,Surplus notes,Gross paid in & contributed surplus,Unassigned funds (surplus),Less treas stock at cost-common shr,Less treas stock at cost-preferred,Surplus as regards policyholders,Total liabs surplus & other funds,Misc conditional reserves (w),Other reinsurance balances (w),Loss portfolio transfers (w),Summary of remaining write-ins (w),Fed&forgn tax on real cap g/l (i),Borrowed money (i),Interest on borrowed money (i),Ceded rein unearned premiums (i),Unearned prem warranty reserves (i),Accrued accident & health rating refunds (i),Provision for reins (including $  certified) (i),Cap notes (i),Interest thereon (i),Treas stock - shares common (i),Treas stock - value common 30 (i),Treas stock - shares preferred (i),Treas stock - value prfd 31 (i),Losses,Reins payable on paid loss & lae,Loss adjustment expenses,Commis pay/contin commis & oth chgs,Other expenses,Taxes licenses & fees,Current federal & foreign inc taxes,Net deferred tax liability,Borrowed money & interest thereon,Unearned premiums,Advance premium,Divs decl & unpaid - stockholders,Divs decl & unpaid - policyholders,Ceded reins premiums payable,Funds held reinsurance treaties,Amts withheld or retnd for others,Remittances and items not allocated,Provision for reinsurance,Net adj ast/liab due frgn exch rate,Drafts outstanding,Payable to parent subs & affiliates,Derivatives,Payable for securities,Payable for securities lending,Liab amounts held under unins plans,Capital notes and interest thereon,Aggregate write-ins for liabilities,Total liabs excl prot cell liabs,Protected cell liabilities,Total liabilities,Agg w-i for special surplus funds,Common capital stock,Preferred capital stock,Agg w-i oth than special surp funds,Surplus notes,Gross paid in & contributed surplus,Unassigned funds (surplus),Less treas stock at cost-common shr,Less treas stock at cost-preferred,Surplus as regards policyholders,Total liabs surplus & other funds,Misc conditional reserves (w),Other reinsurance balances (w),Loss portfolio transfers (w),Summary of remaining write-ins (w),Fed&forgn tax on real cap g/l (i),Borrowed money (i),Interest on borrowed money (i),Ceded rein unearned premiums (i),Unearned prem warranty reserves (i),Accrued accident & health rating refunds (i),Provision for reins (including $  certified) (i),Cap notes (i),Interest thereon (i),Treas stock - shares common (i),Treas stock - value common 30 (i),Treas stock - shares preferred (i),Treas stock - value prfd 31 (i),Losses,Reins payable on paid loss & lae,Loss adjustment expenses,Commis pay/contin commis & oth chgs,Other expenses,Taxes licenses & fees,Current federal & foreign inc taxes,Net deferred tax liability,Borrowed money & interest thereon,Unearned premiums,Advance premium,Divs decl & unpaid - stockholders,Divs decl & unpaid - policyholders,Ceded reins premiums payable,Funds held reinsurance treaties,Amts withheld or retnd for others,Remittances and items not allocated,Provision for reinsurance,Net adj ast/liab due frgn exch rate,Drafts outstanding,Payable to parent subs & affiliates,Derivatives,Payable for securities,Payable for securities lending,Liab amounts held under unins plans,Capital notes and interest thereon,Aggregate write-ins for liabilities,Total liabs excl prot cell liabs,Protected cell liabilities,Total liabilities,Agg w-i for special surplus funds,Common capital stock,Preferred capital stock,Agg w-i oth than special surp funds,Surplus notes,Gross paid in & contributed surplus,Unassigned funds (surplus),Less treas stock at cost-common shr,Less treas stock at cost-preferred,Surplus as regards policyholders,Total liabs surplus & other funds,Misc conditional reserves (w),Other reinsurance balances (w),Loss portfolio transfers (w),Summary of remaining write-ins (w),Fed&forgn tax on real cap g/l (i),Borrowed money (i),Interest on borrowed money (i),Ceded rein unearned premiums (i),Unearned prem warranty reserves (i),Accrued accident & health rating refunds (i),Provision for reins (including $  certified) (i),Cap notes (i),Interest thereon (i),Treas stock - shares common (i),Treas stock - value common 30 (i),Treas stock - shares preferred (i),Treas stock - value prfd 31 (i),Losses,Reins payable on paid loss & lae,Loss adjustment expenses,Commis pay/contin commis & oth chgs,Other expenses,Taxes licenses & fees,Current federal & foreign inc taxes,Net deferred tax liability,Borrowed money & interest thereon,Unearned premiums,Advance premium,Divs decl & unpaid - stockholders,Divs decl & unpaid - policyholders,Ceded reins premiums payable,Funds held reinsurance treaties,Amts withheld or retnd for others,Remittances and items not allocated,Provision for reinsurance,Net adj ast/liab due frgn exch rate,Drafts outstanding,Payable to parent subs & affiliates,Derivatives,Payable for securities,Payable for securities lending,Liab amounts held under unins plans,Capital notes and interest thereon,Aggregate write-ins for liabilities,Total liabs excl prot cell liabs,Protected cell liabilities,Total liabilities,Agg w-i for special surplus funds,Common capital stock,Preferred capital stock,Agg w-i oth than special surp funds,Surplus notes,Gross paid in & contributed surplus,Unassigned funds (surplus),Less treas stock at cost-common shr,Less treas stock at cost-preferred,Surplus as regards policyholders,Total liabs surplus & other funds,Misc conditional reserves (w),Other reinsurance balances (w),Loss portfolio transfers (w),Summary of remaining write-ins (w)
018680,00000,Accident Fund Group (G),364,76586,100,492261,0,0,0,0,0,0,0,0,0,1033412,147930,152636,33268,136952,28223,18177,0,76686,474017,6796,0,25417,244785,268944,9309,0,137,0,0,23909,0,60,5552,2418,0,25629,2714257,0,2714257,0,3000,0,0,0,134000,676828,0,0,813828,3528085,0,0,0,25629,1718,79705,108,383570,0,0,0,0,0,0,0,0,0,886069,40504,135076,23787,70529,24536,5334,0,79813,417953,7109,0,21621,66369,312095,6702,0,145,0,0,21291,0,3488,3440,2674,0,26411,2154944,0,2154944,0,3000,0,0,0,134000,613936,0,0,750936,2905880,0,0,0,26411,2026,84359,118,343937,0,0,0,0,0,0,0,0,0,748855,135600,133331,18659,105721,21525,7459,0,84477,387046,7604,0,32398,211403,359684,8265,0,0,0,0,9600,0,2060,18987,1783,0,24621,2319077,0,2319077,-6819,3000,0,0,0,134000,553871,0,0,684052,3003129,0,0,-56,24677,497,103670,130,295728,0,0,0,0,0,0,0,0,0,830853,217272,138529,14134,119324,22955,5276,0,103800,350721,5094,0,35616,195646,314311,5852,0,209,0,0,54813,0,11,17390,864,0,14531,2447200,0,2447200,0,3000,0,0,0,134000,496604,0,0,633604,3080804,0,0,-190,14721
000468,14184,Acuity A Mutual Insurance Company,7485,0,0,5097,0,0,0,0,0,0,0,0,0,926716,0,242792,39489,85249,7707,0,0,0,595056,8444,0,6820,-1009,0,5583,0,2,0,0,0,0,2778,0,0,0,0,1919627,0,1919627,18769,0,0,1500,0,0,1409632,0,0,1429901,3349528,0,0,0,0,8383,0,0,4672,0,0,0,0,0,0,0,0,0,854851,0,224661,35433,69119,7716,0,0,0,560208,8171,0,7612,-699,0,3595,0,2,0,0,0,0,6507,0,0,0,380,1777557,0,1777557,19136,0,0,1500,0,0,1302764,0,0,1323400,3100956,0,0,0,380,11123,0,0,4222,0,0,0,0,0,0,0,0,0,785606,0,209550,34585,50580,6574,0,7218,0,511292,6609,0,7097,283,0,2476,0,2,0,0,0,0,1914,0,0,0,309,1624095,0,1624095,20019,0,0,1500,0,0,1180803,0,0,1202322,2826417,0,0,0,309,4987,0,0,3493,0,0,0,0,0,0,0,0,0,730678,0,199055,32401,39499,5066,0,0,0,452255,6358,0,7040,2218,0,2142,0,7,0,0,0,0,4109,0,0,0,141,1480967,0,1480967,20667,0,0,1500,0,0,972098,0,0,994265,2475233,0,0,0,141
000106,00000,Alfa Insurance Group (G),268,0,0,400225,0,0,0,0,0,0,0,0,0,359123,72775,74257,18435,52796,4646,354,0,0,413543,21635,0,0,-15934,104,61503,1196,0,0,25934,19964,0,0,0,0,0,141300,1251632,0,1251632,52172,0,0,0,0,0,912458,0,0,964630,2216262,0,0,0,141300,1535,0,0,395549,0,0,0,0,0,0,0,0,0,334634,65966,69646,21404,42046,4879,2038,0,0,405330,20698,0,0,13773,125,60601,943,0,0,22827,18348,0,0,0,0,0,141790,1225044,0,1225044,29351,0,0,0,0,0,986065,0,0,1015416,2240460,0,0,0,141790,689,0,0,387775,0,0,0,0,0,0,0,0,0,312968,57730,67722,19399,44739,5684,2887,0,0,396411,19234,0,0,10237,171,59373,811,0,0,22172,16864,14,1662,0,0,0,76352,1114429,0,1114429,18751,0,0,0,0,0,1015275,0,0,1034026,2148455,0,0,0,76352,188,0,0,361121,0,0,0,0,0,0,0,0,0,314711,50843,60773,13460,34345,3753,586,0,0,378510,19188,0,0,8166,37,55693,1295,0,0,23738,10737,0,1421,0,0,0,83994,1061251,0,1061251,9548,0,0,0,0,0,926443,0,0,935991,1997242,0,0,0,83994
018640,00000,Alleghany Insurance Holdings Group (G),4968,0,0,601100,0,0,0,0,0,0,0,0,0,8517828,150489,602987,24842,200329,12213,4136,2277,0,1746601,377,0,9,198510,30509,60842,47,32916,0,0,47948,33,5560,0,0,0,60501,11698954,0,11698954,0,17643,0,-9682,0,2142099,4461041,0,0,6611101,18310056,0,0,37618,22883,37178,0,0,593395,0,0,63,0,0,0,0,0,0,9235181,205258,581925,31890,220487,16301,34670,3170,0,1540929,79,0,20,207489,67076,61992,26,44878,0,0,38102,0,12870,0,0,0,90242,12392585,0,12392585,0,17643,0,-1445,0,2141014,4393847,0,0,6551059,18943644,0,0,56896,33346,46,0,0,577852,0,0,6633,0,0,0,0,0,0,9612562,150963,583452,17735,212578,17639,62978,3949,0,1536702,7,0,58,212977,114025,65005,35,42903,0,0,28235,0,149628,0,0,0,83462,12894892,0,12894892,0,22443,0,0,0,2130452,4371920,0,0,6524815,19419707,0,0,0,83462,48,0,0,492281,0,0,5044,0,0,0,0,0,0,9886648,119894,588509,4265,89396,14808,38773,8052,0,1467001,0,0,56,164740,206129,64560,3338,26052,0,0,86140,0,17403,0,0,0,153260,12939026,0,12939026,0,22443,0,0,0,2171393,3590439,0,0,5784275,18723301,0,0,0,153260
018429,00000,Allianz of America Companies (G),-241,0,0,1390024,0,0,0,0,0,0,0,0,0,5835336,498382,807585,59569,240190,37960,12632,20076,0,1172013,0,0,0,437655,7216,28402,1091,69993,0,0,211794,0,9347,56370,0,0,265853,9771465,0,9771465,0,39752,0,0,0,2440163,236193,0,0,2716108,12487573,0,0,0,265853,3642,0,0,1322323,0,0,0,0,0,0,0,0,0,6496529,238650,881474,86482,268326,47426,29681,15455,0,1740143,-127,0,0,347214,24463,3714,6454,50237,0,0,124637,0,1564,57797,0,0,154098,10574218,0,10574218,0,40030,0,0,0,2141573,900342,0,0,3081945,13656163,0,0,0,154098,-833,0,0,1300746,0,0,0,0,0,0,0,0,0,6557324,290464,892072,79370,254811,42079,23981,9854,0,1742875,-163,0,0,391817,222945,6086,3864,47203,0,0,95293,0,1853,128042,0,0,110449,10900218,0,10900218,0,40030,0,0,1608,2141873,1341540,0,0,3525051,14425269,0,0,0,110449,4974,0,0,1363644,0,0,0,0,0,0,0,0,0,7523587,370150,1100682,83975,162198,38665,23766,2522,0,1843494,-135,0,0,920583,129435,8214,4348,46221,0,0,124377,0,39040,0,0,0,251669,12672791,0,12672791,0,40030,0,0,1505,2086098,1451797,0,0,3579430,16252221,0,0,0,251669
018591,00000,Allied World Assurance Group (G),0,0,0,1139994,0,0,0,0,0,0,0,0,0,594095,4602,233021,11685,64039,4688,28,0,0,259679,0,0,0,165805,0,825,0,1663,0,0,175430,0,72613,0,0,0,20311,1608484,0,1608484,0,15000,0,0,0,1123843,77711,0,0,1216554,2825038,0,0,0,20311,0,0,0,1069660,0,0,0,0,0,0,0,0,0,556930,8191,207276,8196,72120,2219,784,0,0,242498,0,0,0,186514,0,728,0,959,0,0,172906,0,4966,0,0,0,18069,1482355,0,1482355,0,15000,0,-13779,0,1118245,103116,0,0,1222582,2704938,0,0,0,18069,0,0,0,907547,0,0,0,0,0,0,0,0,0,530373,3329,184897,7490,71470,3754,887,0,0,204352,0,0,0,193682,0,832,0,387,0,0,210271,0,31739,0,0,0,15057,1458519,0,1458519,0,15000,0,-47708,0,1112932,86733,0,0,1166956,2625475,0,0,178,14880,0,0,0,792633,0,0,0,0,0,0,0,0,0,488902,44094,159144,2792,56882,1255,884,0,0,181335,0,0,0,200798,0,733,0,1337,0,0,133729,0,74042,0,0,0,19550,1365477,0,1365477,0,20200,0,-93954,0,1193973,-9702,0,0,1110518,2475995,0,0,410,19140
