,,,#NAME?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SF07880,SF00106,SF00107,SF07881,SF00095,SF00096,SF00097,SF00098,SF00099,SF00100,SF06682,SF00101,SF00102,SF00103,SF00104,SF00105,SF00108,SF00109,SF00110,SF00111,SF00112,SF00113,SF00114,SF00115,SF00116,SF00117,SF07882,SF00118,SF00121,SF06030,SF00119,SF00120,SF04798,SF06683,SF06031,SF00123,SF00124,SF00125,SF00126,SF00127,SF00128,SF00129,SF00130,SF00131,SF00133,SF00134,SF00135,SF00136,SF00137,SF00138,SF07880,SF00106,SF00107,SF07881,SF00095,SF00096,SF00097,SF00098,SF00099,SF00100,SF06682,SF00101,SF00102,SF00103,SF00104,SF00105,SF00108,SF00109,SF00110,SF00111,SF00112,SF00113,SF00114,SF00115,SF00116,SF00117,SF07882,SF00118,SF00121,SF06030,SF00119,SF00120,SF04798,SF06683,SF06031,SF00123,SF00124,SF00125,SF00126,SF00127,SF00128,SF00129,SF00130,SF00131,SF00133,SF00134,SF00135,SF00136,SF00137,SF00138,SF07880,SF00106,SF00107,SF07881,SF00095,SF00096,SF00097,SF00098,SF00099,SF00100,SF06682,SF00101,SF00102,SF00103,SF00104,SF00105,SF00108,SF00109,SF00110,SF00111,SF00112,SF00113,SF00114,SF00115,SF00116,SF00117,SF07882,SF00118,SF00121,SF06030,SF00119,SF00120,SF04798,SF06683,SF06031,SF00123,SF00124,SF00125,SF00126,SF00127,SF00128,SF00129,SF00130,SF00131,SF00133,SF00134,SF00135,SF00136,SF00137,SF00138,SF07880,SF00106,SF00107,SF07881,SF00095,SF00096,SF00097,SF00098,SF00099,SF00100,SF06682,SF00101,SF00102,SF00103,SF00104,SF00105,SF00108,SF00109,SF00110,SF00111,SF00112,SF00113,SF00114,SF00115,SF00116,SF00117,SF07882,SF00118,SF00121,SF06030,SF00119,SF00120,SF04798,SF06683,SF06031,SF00123,SF00124,SF00125,SF00126,SF00127,SF00128,SF00129,SF00130,SF00131,SF00133,SF00134,SF00135,SF00136,SF00137,SF00138
AMB#,NAIC#,Company Name,Net realized capital gains tax (i),Agts & prem bal amt recovered (i),Agts & prem bal amt charged off (i),Net unrealized capital gain tax (i),Premiums earned,Losses incurred,Loss adj expenses incurred,Other underwriting expense incurred,Agg w-i for underwriting deductions,Total underwriting deductions,Net income of protected cells,Net underwriting gain (loss),Net investment income earned,Net realized capital gains (losses),Net investment gain (loss),Net g/l agt or prem bal charged off,Finan & svc chrgs not incl in prems,Aggregate write-ins for misc income,Total other income,"Net inc bef div&f&f tax, aft cg tax",Dividends to policyholders,"Net inc aft div&cg tax, bef f&f tax",Fed & foreign income taxes incurred,Net income,Surplus as regd phldrs end prior yr,Net income (from line 20),Net transf (to)from prot cell accts,Change in net unrlzd cap gain/loss,Change in net unreal forgn exch g/l,Change in net deferred income tax,Change in non-admitted assets,Change in provision for reinsurance,Change in surplus notes,Surplus attr to/wdrwn frm prot cell,Cum effect of changes in acctg prin,Capital changes paid in,Capital changes transf from surplus,Capital changes transf to surplus,Surplus adjustments paid in,Surplus adjust transf to capital,Surplus adjust transf from capital,Net remittances from/to home office,Dividends to stockholders,Change in treasury stock,Agg w-i for gains & losses in surp,Change in surp regard phldrs for yr,Surplus as regards polhldrs end cy,Misc operating adjustments (w),Change in conditional reserves (w),Misc capital & surplus adjustmt (w),Net realized capital gains tax (i),Agts & prem bal amt recovered (i),Agts & prem bal amt charged off (i),Net unrealized capital gain tax (i),Premiums earned,Losses incurred,Loss adj expenses incurred,Other underwriting expense incurred,Agg w-i for underwriting deductions,Total underwriting deductions,Net income of protected cells,Net underwriting gain (loss),Net investment income earned,Net realized capital gains (losses),Net investment gain (loss),Net g/l agt or prem bal charged off,Finan & svc chrgs not incl in prems,Aggregate write-ins for misc income,Total other income,"Net inc bef div&f&f tax, aft cg tax",Dividends to policyholders,"Net inc aft div&cg tax, bef f&f tax",Fed & foreign income taxes incurred,Net income,Surplus as regd phldrs end prior yr,Net income (from line 20),Net transf (to)from prot cell accts,Change in net unrlzd cap gain/loss,Change in net unreal forgn exch g/l,Change in net deferred income tax,Change in non-admitted assets,Change in provision for reinsurance,Change in surplus notes,Surplus attr to/wdrwn frm prot cell,Cum effect of changes in acctg prin,Capital changes paid in,Capital changes transf from surplus,Capital changes transf to surplus,Surplus adjustments paid in,Surplus adjust transf to capital,Surplus adjust transf from capital,Net remittances from/to home office,Dividends to stockholders,Change in treasury stock,Agg w-i for gains & losses in surp,Change in surp regard phldrs for yr,Surplus as regards polhldrs end cy,Misc operating adjustments (w),Change in conditional reserves (w),Misc capital & surplus adjustmt (w),Net realized capital gains tax (i),Agts & prem bal amt recovered (i),Agts & prem bal amt charged off (i),Net unrealized capital gain tax (i),Premiums earned,Losses incurred,Loss adj expenses incurred,Other underwriting expense incurred,Agg w-i for underwriting deductions,Total underwriting deductions,Net income of protected cells,Net underwriting gain (loss),Net investment income earned,Net realized capital gains (losses),Net investment gain (loss),Net g/l agt or prem bal charged off,Finan & svc chrgs not incl in prems,Aggregate write-ins for misc income,Total other income,"Net inc bef div&f&f tax, aft cg tax",Dividends to policyholders,"Net inc aft div&cg tax, bef f&f tax",Fed & foreign income taxes incurred,Net income,Surplus as regd phldrs end prior yr,Net income (from line 20),Net transf (to)from prot cell accts,Change in net unrlzd cap gain/loss,Change in net unreal forgn exch g/l,Change in net deferred income tax,Change in non-admitted assets,Change in provision for reinsurance,Change in surplus notes,Surplus attr to/wdrwn frm prot cell,Cum effect of changes in acctg prin,Capital changes paid in,Capital changes transf from surplus,Capital changes transf to surplus,Surplus adjustments paid in,Surplus adjust transf to capital,Surplus adjust transf from capital,Net remittances from/to home office,Dividends to stockholders,Change in treasury stock,Agg w-i for gains & losses in surp,Change in surp regard phldrs for yr,Surplus as regards polhldrs end cy,Misc operating adjustments (w),Change in conditional reserves (w),Misc capital & surplus adjustmt (w),Net realized capital gains tax (i),Agts & prem bal amt recovered (i),Agts & prem bal amt charged off (i),Net unrealized capital gain tax (i),Premiums earned,Losses incurred,Loss adj expenses incurred,Other underwriting expense incurred,Agg w-i for underwriting deductions,Total underwriting deductions,Net income of protected cells,Net underwriting gain (loss),Net investment income earned,Net realized capital gains (losses),Net investment gain (loss),Net g/l agt or prem bal charged off,Finan & svc chrgs not incl in prems,Aggregate write-ins for misc income,Total other income,"Net inc bef div&f&f tax, aft cg tax",Dividends to policyholders,"Net inc aft div&cg tax, bef f&f tax",Fed & foreign income taxes incurred,Net income,Surplus as regd phldrs end prior yr,Net income (from line 20),Net transf (to)from prot cell accts,Change in net unrlzd cap gain/loss,Change in net unreal forgn exch g/l,Change in net deferred income tax,Change in non-admitted assets,Change in provision for reinsurance,Change in surplus notes,Surplus attr to/wdrwn frm prot cell,Cum effect of changes in acctg prin,Capital changes paid in,Capital changes transf from surplus,Capital changes transf to surplus,Surplus adjustments paid in,Surplus adjust transf to capital,Surplus adjust transf from capital,Net remittances from/to home office,Dividends to stockholders,Change in treasury stock,Agg w-i for gains & losses in surp,Change in surp regard phldrs for yr,Surplus as regards polhldrs end cy,Misc operating adjustments (w),Change in conditional reserves (w),Misc capital & surplus adjustmt (w)
018680,00000,Accident Fund Group (G),19312,2139,6694,-15268,1010433,513202,134888,193303,0,841394,0,169039,57812,8595,66407,-4555,905,-11486,-15136,220310,16030,204280,60065,144215,750936,144215,0,-33911,-778,1978,-26874,8,0,0,0,0,0,0,0,0,0,0,-23500,0,1753,62892,813828,1753,0,0,17614,2198,5992,979,914901,543990,115647,162220,0,821856,0,93045,38884,24809,63693,-3794,899,136,-2759,153979,22856,131123,32856,98267,684052,98267,0,-1380,-743,14646,-15378,-145,0,0,0,0,0,0,0,0,0,0,-21000,0,-7384,66884,750936,-7384,0,0,12007,1932,5190,6958,684315,342380,105964,203545,0,651888,0,32426,36259,14070,50330,-3257,858,334,-2065,80691,28665,52026,5554,46472,633604,46472,0,9941,-936,4670,3449,209,0,0,0,0,0,0,0,0,0,0,-8000,0,-5357,50448,684052,-5357,0,0,23829,1753,4681,5151,629730,346660,113826,191300,0,651787,0,-22057,49548,37769,87317,-2928,835,994,-1099,64161,26521,37640,-13745,51384,578901,51384,0,1731,0,-10833,19991,160,0,0,0,0,0,0,0,0,0,0,-8500,0,770,54703,633604,770,0,0
000468,14184,Acuity A Mutual Insurance Company,7485,480,1867,-22408,1235088,641277,123661,377378,0,1142316,0,92772,104974,13178,118151,-1387,4165,18,2796,213719,16774,196945,54972,141973,1323400,141973,0,-41196,0,10998,-5274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106501,1429901,0,0,0,8383,300,1513,2399,1140264,634959,107809,332722,0,1075490,0,64774,91567,10232,101799,-1213,4045,153,2984,169556,19259,150297,37082,113215,1202322,113215,0,4585,0,11047,-7770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121078,1323400,0,0,0,11123,709,1810,49214,1014983,538185,91396,305637,0,935218,0,79765,77905,11700,89604,-1100,3836,177,2913,172282,19178,153105,42031,111074,994265,111074,0,91937,0,9445,-4404,5,0,0,0,0,0,0,0,0,0,0,0,0,0,208057,1202322,0,0,0,4987,378,2059,14330,874611,465731,87174,270560,0,823466,0,51145,72481,18666,91147,-1682,3754,232,2304,144596,18755,125842,30477,95365,870403,95365,0,26595,0,1956,-246,193,0,0,0,0,0,0,0,0,0,0,0,0,0,123863,994265,0,0,0
000106,00000,Alfa Insurance Group (G),7530,-66,7648,-13565,1130192,727376,69986,361324,-143,1158544,0,-28352,43157,14322,57479,-7714,30686,304,23276,52403,0,52403,-1356,53759,1015416,53759,0,-28174,0,-32613,-11595,0,0,0,0,0,0,0,0,0,0,0,-11100,0,-21063,-50785,964630,-21063,0,0,4292,-41,7349,15481,1111165,711904,68132,364510,-136,1144410,0,-33245,44700,-2842,41858,-7391,30452,-909,22152,30765,0,30765,-234,31000,1034026,31000,0,1968,0,-8212,23524,0,0,0,-5041,0,0,0,0,0,0,0,-12400,0,-49450,-18611,1015416,-49450,0,0,5026,-7,5353,88,1072114,665187,68986,344616,-21,1078768,0,-6654,61874,16084,77959,-5359,29505,-3833,20312,91617,0,91617,1250,90367,935991,90367,0,-20825,0,-8708,44356,0,0,0,0,0,0,0,0,0,0,0,-13400,0,6245,98035,1034026,6245,0,0,1434,1,4999,8985,1044801,652145,67989,330089,-11,1050212,0,-5411,48595,-30152,18443,-4999,26713,2925,24639,37671,0,37671,-2637,40308,864806,40308,0,-12590,0,5586,34539,0,0,0,0,0,0,0,0,0,0,0,0,0,3343,71185,935991,3343,0,0
018640,00000,Alleghany Insurance Holdings Group (G),37296,2334,4572,-45639,3871409,1820800,265477,1446036,0,3532313,0,339096,460714,72272,532986,-2238,418,33356,31537,903619,10,903608,179028,724581,6551059,724581,0,-89749,-16359,-25431,14980,11962,0,0,0,0,0,0,1085,0,0,0,-556500,0,-4526,60042,6611101,-4526,0,0,57427,988,1363,63558,4074962,1979990,248731,1413806,0,3642527,0,432435,484480,124098,608579,-374,445,22105,22176,1063190,29,1063161,287401,775759,6524815,775759,0,-101051,-28892,90081,-71007,-1975,0,0,0,0,0,0,41302,0,0,0,-635500,0,-42472,26244,6551059,-1170,0,-41302,54772,2529,2949,20195,3950730,1954899,237602,1361283,0,3553783,0,396947,526730,84732,611462,-420,416,5234,5229,1013638,44,1013594,116582,897012,5784275,897012,0,295538,-44558,-42389,-2141,-16851,0,0,-2979,0,0,0,-40940,0,0,0,-325000,0,22847,740540,6524815,47,0,22800,63898,3089,6232,-19630,4034197,2612794,243447,1330253,0,4186494,0,-152297,550499,127188,677687,-3142,371,51829,49058,574448,-27,574475,67998,506477,5437338,506477,0,-43848,-24128,-37718,83097,22309,0,0,4005,0,0,0,11625,0,0,0,-174881,0,0,346937,5784275,0,0,0
018429,00000,Allianz of America Companies (G),6341,1612,2126,-8517,2912445,1915585,389849,1042932,0,3348365,0,-435920,344750,7283,352033,-514,3349,312623,315458,231570,821,230749,-24200,254949,3081945,254949,0,-865430,-34699,7349,-202060,-19756,0,0,0,0,0,0,1740560,0,0,0,-344367,0,-902384,-365837,2716108,-12988,0,-889396,11883,796,3536,2445,3755459,2619855,483811,1246405,0,4350072,0,-594613,397710,3985,401695,-2740,1941,30615,29816,-163102,1853,-164955,-350552,185598,3522151,185598,0,13500,-21719,-464562,271342,-3034,0,0,0,0,0,0,0,0,0,0,-410000,0,-11330,-440206,3081945,-11330,0,0,-6555,566,4520,7033,3909056,2428000,335620,1306209,0,4069829,0,-160773,398563,754,399317,-3954,1867,-1459,-3546,234998,1728,233270,-803,234073,3579430,234073,0,26332,-14748,-58835,53257,-982,103,0,0,0,0,0,55775,0,0,0,-398200,0,48847,-54379,3525051,48847,0,0,12372,719,4766,2012,4706837,3778590,720620,1314756,0,5813965,0,-1107128,414096,26684,440781,-4047,1983,-51881,-53945,-720292,-1786,-718506,15,-718521,3984481,-718521,0,36017,5440,226666,-182671,22002,-81,0,15221,18957,0,0,-2043353,0,0,0,-70000,0,2285273,-405050,3579430,11347,0,2273926
018591,00000,Allied World Assurance Group (G),3247,0,0,-9170,459815,221502,95996,135344,0,452842,0,6973,38014,4840,42854,0,0,-705,-705,49121,0,49121,9777,39345,1222582,39345,0,-28657,-3269,-444,-3947,-703,0,0,0,0,0,0,5598,0,0,0,-13950,0,0,-6028,1216554,0,0,0,10678,0,0,404,402476,197775,83628,114974,0,396377,0,6099,33313,18803,52116,0,0,-79,-79,58137,0,58137,13479,44658,1166956,44658,0,7614,-2437,6632,8419,-572,0,0,0,0,2807,0,5313,-2807,0,0,-14000,0,0,55626,1222582,0,0,0,3140,0,0,0,370832,176029,75380,97370,0,348780,0,22052,25829,6902,32731,0,0,-107,-107,54676,0,54676,18802,35874,1110518,35874,0,-60767,-2635,999,79983,950,0,0,0,0,0,0,130356,0,0,0,0,0,-128322,56438,1166956,0,0,-128322,9236,0,0,0,313697,172116,60582,92114,0,324812,0,-11115,30797,18855,49652,0,0,294,294,38831,0,38831,13441,25390,1054441,25390,0,-18412,951,725,47388,-461,0,0,0,0,0,0,496,0,0,0,0,0,0,56077,1110518,0,0,0
