,,,#NAME?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SF07664,SF00139,SF00144,SF07652,SF07653,SF07654,SF07655,SF07656,SF00146,SF00147,SF07657,SF00148,SF00149,SF00150,SF00151,SF00152,SF00154,SF00155,SF00156,SF00157,SF00165,SF00166,SF00167,SF00168,SF00170,SF00171,SF00172,SF07658,SF04771,SF07659,SF07660,SF07661,SF07662,SF00173,SF07663,SF04773,SF00179,SF00180,SF00181,SF07664,SF00139,SF00144,SF07652,SF07653,SF07654,SF07655,SF07656,SF00146,SF00147,SF07657,SF00148,SF00149,SF00150,SF00151,SF00152,SF00154,SF00155,SF00156,SF00157,SF00165,SF00166,SF00167,SF00168,SF00170,SF00171,SF00172,SF07658,SF04771,SF07659,SF07660,SF07661,SF07662,SF00173,SF07663,SF04773,SF00179,SF00180,SF00181,SF07664,SF00139,SF00144,SF07652,SF07653,SF07654,SF07655,SF07656,SF00146,SF00147,SF07657,SF00148,SF00149,SF00150,SF00151,SF00152,SF00154,SF00155,SF00156,SF00157,SF00165,SF00166,SF00167,SF00168,SF00170,SF00171,SF00172,SF07658,SF04771,SF07659,SF07660,SF07661,SF07662,SF00173,SF07663,SF04773,SF00179,SF00180,SF00181,SF07664,SF00139,SF00144,SF07652,SF07653,SF07654,SF07655,SF07656,SF00146,SF00147,SF07657,SF00148,SF00149,SF00150,SF00151,SF00152,SF00154,SF00155,SF00156,SF00157,SF00165,SF00166,SF00167,SF00168,SF00170,SF00171,SF00172,SF07658,SF04771,SF07659,SF07660,SF07661,SF07662,SF00173,SF07663,SF04773,SF00179,SF00180,SF00181
AMB#,NAIC#,Company Name,Net tax on capital gains/losses (i),Premiums collected net of reins,Net investment income,Miscellaneous income,Total (lines 1 through 3),Benefit and loss related payments,"Net transfer to sep,seg & prot cell","Commiss,exps & agg w-ins for deduct",Dividends paid to policyholders,Fed&frgn inc tax pd/rcv net tax g/l,Total (lines 5 through 9),Net cash from operations,Proceeds-bonds,Proceeds-stocks,Proceeds-mortgage loans,Proceeds-real estate,Proceeds-other invested assets,"Proceeds-net g/l on cash,equiv& s-t",Proceeds-miscellaneous proceeds,Proceeds-total investment proceeds,Cost of inv acq - bonds,Cost of inv acq - stocks,Cost of inv acq - mortgage loans,Cost of inv acq - real estate,Cost of inv acq - other inv assets,Cost of inv acq - misc application,Cost of inv acq - tot investmt acq,Net incr(decr) contr ln & prem note,Net cash from investments,Cash prov/app - surp note&cap note,Cash prov/app - cap & paid in surp,Cash prov/app - borrowed funds,Cash prov/app - net dep contr & oth,Cash prov/app - dividend to stkhldr,Cash prov/app - oth cash prov(appl),Net cash from finan & misc sources,Net change in cash & short-term inv,"Cash,equiv&s-term inv - beg of year","Cash,equiv&s-term inv - end of year",Net tax on capital gains/losses (i),Premiums collected net of reins,Net investment income,Miscellaneous income,Total (lines 1 through 3),Benefit and loss related payments,"Net transfer to sep,seg & prot cell","Commiss,exps & agg w-ins for deduct",Dividends paid to policyholders,Fed&frgn inc tax pd/rcv net tax g/l,Total (lines 5 through 9),Net cash from operations,Proceeds-bonds,Proceeds-stocks,Proceeds-mortgage loans,Proceeds-real estate,Proceeds-other invested assets,"Proceeds-net g/l on cash,equiv& s-t",Proceeds-miscellaneous proceeds,Proceeds-total investment proceeds,Cost of inv acq - bonds,Cost of inv acq - stocks,Cost of inv acq - mortgage loans,Cost of inv acq - real estate,Cost of inv acq - other inv assets,Cost of inv acq - misc application,Cost of inv acq - tot investmt acq,Net incr(decr) contr ln & prem note,Net cash from investments,Cash prov/app - surp note&cap note,Cash prov/app - cap & paid in surp,Cash prov/app - borrowed funds,Cash prov/app - net dep contr & oth,Cash prov/app - dividend to stkhldr,Cash prov/app - oth cash prov(appl),Net cash from finan & misc sources,Net change in cash & short-term inv,"Cash,equiv&s-term inv - beg of year","Cash,equiv&s-term inv - end of year",Net tax on capital gains/losses (i),Premiums collected net of reins,Net investment income,Miscellaneous income,Total (lines 1 through 3),Benefit and loss related payments,"Net transfer to sep,seg & prot cell","Commiss,exps & agg w-ins for deduct",Dividends paid to policyholders,Fed&frgn inc tax pd/rcv net tax g/l,Total (lines 5 through 9),Net cash from operations,Proceeds-bonds,Proceeds-stocks,Proceeds-mortgage loans,Proceeds-real estate,Proceeds-other invested assets,"Proceeds-net g/l on cash,equiv& s-t",Proceeds-miscellaneous proceeds,Proceeds-total investment proceeds,Cost of inv acq - bonds,Cost of inv acq - stocks,Cost of inv acq - mortgage loans,Cost of inv acq - real estate,Cost of inv acq - other inv assets,Cost of inv acq - misc application,Cost of inv acq - tot investmt acq,Net incr(decr) contr ln & prem note,Net cash from investments,Cash prov/app - surp note&cap note,Cash prov/app - cap & paid in surp,Cash prov/app - borrowed funds,Cash prov/app - net dep contr & oth,Cash prov/app - dividend to stkhldr,Cash prov/app - oth cash prov(appl),Net cash from finan & misc sources,Net change in cash & short-term inv,"Cash,equiv&s-term inv - beg of year","Cash,equiv&s-term inv - end of year",Net tax on capital gains/losses (i),Premiums collected net of reins,Net investment income,Miscellaneous income,Total (lines 1 through 3),Benefit and loss related payments,"Net transfer to sep,seg & prot cell","Commiss,exps & agg w-ins for deduct",Dividends paid to policyholders,Fed&frgn inc tax pd/rcv net tax g/l,Total (lines 5 through 9),Net cash from operations,Proceeds-bonds,Proceeds-stocks,Proceeds-mortgage loans,Proceeds-real estate,Proceeds-other invested assets,"Proceeds-net g/l on cash,equiv& s-t",Proceeds-miscellaneous proceeds,Proceeds-total investment proceeds,Cost of inv acq - bonds,Cost of inv acq - stocks,Cost of inv acq - mortgage loans,Cost of inv acq - real estate,Cost of inv acq - other inv assets,Cost of inv acq - misc application,Cost of inv acq - tot investmt acq,Net incr(decr) contr ln & prem note,Net cash from investments,Cash prov/app - surp note&cap note,Cash prov/app - cap & paid in surp,Cash prov/app - borrowed funds,Cash prov/app - net dep contr & oth,Cash prov/app - dividend to stkhldr,Cash prov/app - oth cash prov(appl),Net cash from finan & misc sources,Net change in cash & short-term inv,"Cash,equiv&s-term inv - beg of year","Cash,equiv&s-term inv - end of year"
018680,00000,Accident Fund Group (G),9637,947382,78689,-15136,1010935,421474,0,289763,12235,64705,788176,222759,1578921,170917,0,0,3432,69,183,1753522,1758768,175133,0,0,17644,3428,1954973,0,-201450,0,0,-3126,0,23500,15649,-10977,10331,244527,254858,14848,851437,66260,-2759,914937,465923,0,249539,33633,53339,802434,112504,1639316,51926,0,300,880,9,3297,1695728,1645557,51736,0,0,400,0,1697692,0,-1965,0,0,-4665,0,21000,-3731,-29395,81144,163383,244527,6556,790557,52583,-2065,841075,428656,0,308008,31883,7248,775794,65281,2680044,110692,0,0,400,-9,2418,2793546,2721481,84770,0,0,750,4032,2811033,0,-17487,0,0,-19323,0,8000,17918,-9404,38389,124994,163383,17622,756940,58745,-1099,814586,475035,0,294285,27356,56,796732,17854,2313409,86878,0,0,2988,534,11628,2415436,2444793,71650,0,0,1800,5305,2523548,0,-108111,0,0,-19153,0,8500,5026,-22627,-112884,237878,124994
000468,14184,Acuity A Mutual Insurance Company,0,1249299,120383,2804,1372486,569279,0,467546,17566,59196,1113587,258899,281310,120091,0,14,0,0,989,402404,437442,136692,0,70813,0,3729,648676,0,-246272,0,0,0,0,0,-6013,-6013,6614,45005,51619,0,1154209,103742,2986,1260937,567616,0,416090,18744,47875,1050325,210612,253356,112416,0,0,0,0,-462,365310,428122,122260,0,25633,0,-4594,571422,0,-206112,0,0,0,0,0,-4945,-4945,-444,45450,45005,0,1031968,87599,2806,1122374,481977,0,373259,19121,56433,930790,191584,317465,105406,0,107,3,0,-148,422834,511804,113667,0,3769,0,2195,631436,0,-208602,0,0,0,0,0,-3038,-3038,-20056,65505,45450,0,899079,80875,2133,982087,438918,0,335503,19100,32198,825719,156369,280263,185592,0,185,51901,0,13,517954,340371,308270,0,558,0,-4020,645180,0,-127226,0,0,0,0,0,-80,-80,29063,36442,65505
000106,00000,Alfa Insurance Group (G),6216,1127587,45780,29562,1202929,702073,0,447628,0,8692,1158393,44536,161325,265844,0,0,35026,-361,495,462330,152496,262027,0,2246,33562,0,450332,0,11998,0,0,0,0,11100,-45947,-57047,-513,316487,315974,2351,1100841,51220,28430,1180491,690790,0,434808,0,-4984,1120614,59877,127576,273972,0,0,16686,-25,188,418396,157355,365184,0,1173,14791,2011,540515,0,-122119,0,0,0,0,12400,101816,89416,27174,289314,316487,180,1062134,66183,29733,1158050,666805,0,385832,0,1213,1053850,104201,106265,171724,0,0,47901,-148,1085,326827,183941,161253,0,325,15083,731,361333,0,-34506,0,0,0,0,13400,-8347,-21747,47947,241366,289314,0,1021094,54024,29932,1105050,665871,0,388382,0,-2837,1051416,53634,271223,75174,0,0,13693,262,1785,362136,273219,73483,0,371,0,0,347074,0,15063,0,0,0,0,0,-35001,-35001,33696,207671,241366
018640,00000,Alleghany Insurance Holdings Group (G),41682,4196059,558870,-120534,4634395,2608768,0,1719881,22,292049,4620720,13676,7085659,2913427,53,0,3294,-1104,2534,10003863,6608121,3004958,178000,0,56383,33155,9880618,0,123245,0,1085,0,0,556500,90826,-464590,-327670,849521,521852,70035,4020364,565632,73793,4659788,2310031,0,1643290,68,353130,4306518,353271,6428971,792388,0,0,4898,-1475,4449,7229232,6133979,1116697,0,0,27476,136947,7415099,0,-185867,0,41302,0,0,635500,62044,-532154,-364750,1214272,849521,42802,3911057,632779,116731,4660567,2212036,0,1467016,42,106101,3785196,875371,8057011,1506491,0,0,62976,-2192,136692,9760978,7437168,2299753,0,1829,30579,6663,9775992,0,-15013,0,-40940,0,0,325000,-174034,-539975,320383,893889,1214272,46312,3982992,636836,-94980,4524848,2141915,0,1568815,28,134620,3845378,679470,4469010,1033929,0,0,67436,50,31059,5601484,4745934,997538,0,0,187315,7985,5938772,0,-337288,0,11625,0,0,174881,249304,86049,428231,465657,893889
018429,00000,Allianz of America Companies (G),6120,2471239,398990,312210,3182439,2434846,0,1564522,821,88909,4089097,-906658,4605849,180804,36801,0,313390,78,18469,5155390,4189992,-781897,10005,0,358722,12556,3789377,0,1366014,0,1861,0,0,344367,-346540,-689046,-229690,409510,179821,3553,3939965,446258,28366,4414590,2721691,0,1727214,1853,-346592,4104165,310426,2480720,130973,77820,0,93384,16,70356,2853270,1747110,139140,150284,0,109856,1820,2148210,0,705060,0,0,0,0,410000,-217160,-627160,388325,21185,409510,-538,4293302,476467,-863,4768907,3414897,0,1751418,1728,-14836,5153206,-384300,3347934,181241,4666,0,1355931,6,4244,4894020,2756302,206644,260003,0,1329687,164092,4716729,0,177292,103,55775,0,0,398200,249057,-93266,-300274,324353,24079,2672,4744575,485393,-53276,5176692,3323278,0,1918323,1285,-130948,5111939,64754,4614780,421730,29717,0,1473910,34,41607,6581778,4774015,507718,65200,0,1523309,6384,6876626,0,-294847,-81,-2024395,0,0,70000,2501705,407229,177135,147218,324353
018591,00000,Allied World Assurance Group (G),0,489048,39959,-705,528302,200115,0,202700,0,3888,406702,121600,1016778,283651,0,0,61385,1,67656,1429471,1319185,132140,0,0,3416,15968,1470708,0,-41237,0,5598,0,0,13950,-91270,-99623,-19259,179279,160020,0,340021,42442,-79,382385,223434,0,172055,0,19074,414564,-32179,1191177,303091,0,0,3626,-1,7173,1505067,1042653,322003,0,0,70035,26802,1461493,0,43574,0,5313,0,0,14000,32960,24273,35668,143611,179279,0,341624,40975,-107,382492,158335,0,124600,0,18611,301545,80947,2007626,119016,0,0,20000,24,2907,2149573,1927712,253643,0,0,22058,51232,2254645,0,-105072,0,130356,0,0,0,-143045,-12689,-36815,180426,143611,0,305675,47773,294,353743,158368,0,118775,0,27376,304519,49224,2223875,54221,0,0,0,55,74595,2352746,2193633,97382,0,0,0,3163,2294178,0,58568,0,496,0,0,0,-47407,-46911,60881,119545,180426
